,date_index0,date_index1,date_index2,date_index3,date_index4,date_index5,date_index6,title
0,30,33,35,28,32,40,49,Avatar
1,17,25,32,21,30,27,35,Pirates of the Caribbean: At World's End
2,33,35,39,35,31,36,47,Spectre
3,12,14,16,20,25,28,38,The Dark Knight Rises
4,19,23,29,29,28,35,44,John Carter
5,18,36,33,34,41,40,38,Spider-Man 3
6,19,19,25,30,30,27,40,Tangled
7,62,73,67,47,38,42,51,Avengers: Age of Ultron
8,38,32,35,47,54,37,55,Harry Potter and the Half-Blood Prince
9,7,10,15,12,17,23,31,Batman v Superman: Dawn of Justice
10,31,37,42,48,51,45,57,Superman Returns
11,69,83,82,62,50,47,53,Quantum of Solace
12,11,19,15,28,15,18,33,Pirates of the Caribbean: Dead Man's Chest
13,15,17,22,25,30,30,43,The Lone Ranger
14,18,19,20,20,28,32,41,Man of Steel
15,14,6,6,11,13,13,11,The Chronicles of Narnia: Prince Caspian
16,43,58,60,51,48,40,43,The Avengers
17,13,25,33,21,21,31,46,Pirates of the Caribbean: On Stranger Tides
18,22,27,32,23,23,35,44,Men in Black 3
19,30,34,54,61,70,57,65,The Hobbit: The Battle of the Five Armies
20,36,43,46,68,85,78,59,The Amazing Spider-Man
21,16,23,23,22,25,29,49,The Hobbit: The Desolation of Smaug
22,38,47,46,45,44,45,55,The Golden Compass
23,32,32,40,46,51,37,44,King Kong
24,41,47,48,40,33,34,46,Captain America: Civil War
25,49,64,69,49,47,48,53,Battleship
26,12,16,18,16,18,30,44,Jurassic World
27,74,84,81,57,47,42,51,Skyfall
28,20,30,29,30,33,35,67,Spider-Man 2
29,66,77,77,56,50,60,53,Iron Man 3
30,29,27,29,29,33,37,44,Alice in Wonderland
31,18,36,39,34,29,32,44,X-Men: The Last Stand
32,16,20,23,21,25,28,38,Monsters University
33,22,25,30,49,49,38,60,Transformers: Revenge of the Fallen
34,22,24,27,25,22,32,47,Transformers: Age of Extinction
35,15,20,17,18,21,26,32,Oz the Great and Powerful
36,36,46,47,35,46,69,87,The Amazing Spider-Man 2
37,25,25,29,26,26,29,41,TRON: Legacy
38,29,39,42,36,38,44,49,Cars 2
39,23,30,30,27,27,33,45,Green Lantern
40,18,25,31,26,27,29,38,Toy Story 3
41,17,24,31,35,32,39,51,Terminator Salvation
42,10,13,14,14,16,28,52,Furious 7
43,19,23,25,23,28,34,43,World War Z
44,13,18,19,17,21,33,46,X-Men: Days of Future Past
45,37,46,48,46,35,37,45,Star Trek Into Darkness
46,8,13,13,11,14,18,26,Jack the Giant Slayer
47,35,28,32,37,43,42,54,The Great Gatsby
48,27,45,38,33,31,26,34,Prince of Persia: The Sands of Time
49,14,15,18,21,24,26,41,Pacific Rim
50,18,18,20,29,33,33,53,Transformers: Dark of the Moon
51,26,19,45,61,58,33,54,Indiana Jones and the Kingdom of the Crystal Skull
52,13,14,17,24,27,26,33,The Good Dinosaur
53,24,32,33,28,32,33,43,Brave
