,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",Won 1 Oscar. Another 48 wins & 61 nominations.,"$380,529,370",USA,07 May 2013,"Andrew Stanton, Lee Unkrich(co-director)","Animation, Adventure, Comedy",English,90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://ia.media-imdb.com/images/M/MV5BZjMxYzBiNjUtZDliNC00MDAyLTg3N2QtOWNjNmNhZGQzNDg5XkEyXkFqcGdeQXVyNjE2MjQwNjc@._V1_SX300.jpg,Walt Disney Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",30 May 2003,True,100 min,Finding Nemo,movie,http://disney.go.com/disneyvideos/animatedfilms/findingnemo/index2.html,"Andrew Stanton (original story by), Andrew Stanton (screenplay by), Bob Peterson (screenplay by), David Reynolds (screenplay by)",2003,tt0266543,8.1,"805,938"
1,"Noel Appleby, Ali Astin, Sean Astin, David Aston",Won 11 Oscars. Another 197 wins & 122 nominations.,"$364,000,000","USA, New Zealand",25 May 2004,Peter Jackson,"Adventure, Drama, Fantasy","English, Quenya, Old English, Sindarin",94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://ia.media-imdb.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",17 Dec 2003,True,201 min,The Lord of the Rings: The Return of the King,movie,http://www.lordoftherings.net/,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)",2003,tt0167260,8.9,"1,377,689"
2,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 5 Oscars. Another 36 wins & 96 nominations.,"$305,343,252",USA,02 Dec 2003,Gore Verbinski,"Action, Adventure, Fantasy",English,63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",https://ia.media-imdb.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Buena Vista Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",09 Jul 2003,True,143 min,Pirates of the Caribbean: The Curse of the Black Pearl,movie,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,"Ted Elliott (screen story), Terry Rossio (screen story), Stuart Beattie (screen story), Jay Wolpert (screen story), Ted Elliott (screenplay), Terry Rossio (screenplay)",2003,tt0325980,8.0,"908,084"
3,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",8 wins & 31 nominations.,"$281,500,000","USA, Australia",14 Oct 2003,"Lana Wachowski, Lilly Wachowski","Action, Sci-Fi","English, French",62,"Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams.",https://ia.media-imdb.com/images/M/MV5BYzM3OGVkMjMtNDk3NS00NDk5LWJjZjUtYTVkZTIyNmQxNDMxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",15 May 2003,True,138 min,The Matrix Reloaded,movie,http://whatisthematrix.warnerbros.com/,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)",2003,tt0234215,7.2,"455,851"
4,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",7 wins & 8 nominations.,"$242,589,580",USA,25 Nov 2003,Tom Shadyac,"Comedy, Drama, Fantasy","English, Spanish",46,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,https://ia.media-imdb.com/images/M/MV5BNzMyZDhiZDUtYWUyMi00ZDQxLWE4NDQtMWFlMjI1YjVjMjZiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",23 May 2003,True,101 min,Bruce Almighty,movie,http://www.brucealmighty.com/,"Steve Koren (story), Mark O'Keefe (story), Steve Koren (screenplay), Mark O'Keefe (screenplay), Steve Oedekerk (screenplay)",2003,tt0315327,6.7,"328,214"
5,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry",6 wins & 41 nominations.,"$214,813,155","Canada, USA",25 Nov 2003,Bryan Singer,"Action, Adventure, Fantasy","English, German, Italian, Spanish",68,"The X-Men band together to find a mutant assassin who has made an attempt on the President's life, while the Mutant Academy is attacked by military forces.",https://ia.media-imdb.com/images/M/MV5BNDk0NjYxMzIzOF5BMl5BanBnXkFtZTYwMTc1MjU3._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",02 May 2003,True,134 min,X-Men 2,movie,http://www.x2-movie.com/,"Zak Penn (story), David Hayter (story), Bryan Singer (story), Michael Dougherty (screenplay), Dan Harris (screenplay), David Hayter (screenplay)",2003,tt0290334,7.5,"451,817"
6,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",2 wins & 7 nominations.,"$173,400,000",USA,16 Nov 2004,Jon Favreau,"Comedy, Family, Fantasy",English,64,"After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.",https://ia.media-imdb.com/images/M/MV5BMzUxNzkzMzQtYjIxZC00NzU0LThkYTQtZjNhNTljMTA1MDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,New Line Cinema,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",07 Nov 2003,True,97 min,Elf,movie,http://elfmovie.com/,David Berenbaum,2003,tt0319343,6.9,"172,376"
7,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",3 wins & 21 nominations.,"$150,252,753","USA, Germany, UK",11 Nov 2003,Jonathan Mostow,"Action, Sci-Fi",English,66,A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.,https://ia.media-imdb.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",02 Jul 2003,True,109 min,Terminator 3: Rise of the Machines,movie,http://www.terminator3.com/,"James Cameron (characters), Gale Anne Hurd (characters), John Brancato (story), Michael Ferris (story), Tedi Sarafian (story), John Brancato (screenplay), Michael Ferris (screenplay)",2003,tt0181852,6.3,"332,281"
8,"Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",4 wins & 30 nominations.,"$139,076,032","Australia, USA",06 Apr 2004,"Lana Wachowski, Lilly Wachowski","Action, Sci-Fi","English, French",47,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzNlZTZjMDctZjYwNi00NzljLWIwN2QtZWZmYmJiYzQ0MTk2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",05 Nov 2003,True,129 min,Matrix Revolutions,movie,http://whatisthematrix.warnerbros.com/,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)",2003,tt0242653,6.7,"394,645"
9,"Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling",2 wins & 7 nominations.,"$138,507,634",USA,06 Apr 2004,Shawn Levy,"Comedy, Family",English,46,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",https://ia.media-imdb.com/images/M/MV5BMTg0NzYxMjY0Ml5BMl5BanBnXkFtZTcwOTU0NDczMw@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",25 Dec 2003,True,98 min,Cheaper by the Dozen,movie,http://www.cheaperbythedozenmovie.com/,"Frank B. Gilbreth Jr. (novel), Ernestine Gilbreth Carey (novel), Craig Titley (screen story), Sam Harper (screenplay), Joel Cohen (screenplay), Alec Sokolow (screenplay)",2003,tt0349205,5.8,"82,913"
10,"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union",5 wins & 13 nominations.,"$138,396,624",USA,09 Dec 2003,Michael Bay,"Action, Comedy, Crime","English, Spanish",38,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmU4NzVkZjEtZmQxMi00ZDY5LWI3ZDYtMWRmZjE5YmYwZjQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",18 Jul 2003,True,147 min,Bad Boys II,movie,http://www.sonypictures.com/movies/badboys2/site/,"George Gallo (characters), Marianne Wibberley (story), Cormac Wibberley (story), Ron Shelton (story), Ron Shelton (screenplay), Jerry Stahl (screenplay)",2003,tt0172156,6.6,"194,523"
11,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán",2 wins & 5 nominations.,"$133,756,285",USA,16 Sep 2003,Peter Segal,Comedy,English,52,"Dave Buznik is a businessman who is wrongly sentenced to an anger-management program, where he meets an aggressive instructor.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1YTNiODItZGYyOC00NGIwLWI3MjYtMTY3NDQ0ZDIwYjBiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",11 Apr 2003,True,106 min,Anger Management,movie,http://www.sonypictures.com/movies/angermanagement,David Dorfman,2003,tt0305224,6.2,"183,250"
12,"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright",4 wins & 13 nominations.,N/A,USA,05 Aug 2003,Adam Shankman,Comedy,English,39,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",https://ia.media-imdb.com/images/M/MV5BOTUyMTM2MjMwOF5BMl5BanBnXkFtZTYwOTA0Mzk2._V1_SX300.jpg,Touchstone Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",07 Mar 2003,True,105 min,Bringing Down the House,movie,http://movies.yahoo.com/house,Jason Filardi,2003,tt0305669,5.6,"31,959"
13,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",3 wins & 14 nominations.,"$132,122,995",USA,28 Oct 2003,Ang Lee,"Action, Sci-Fi","English, Spanish",54,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",https://ia.media-imdb.com/images/M/MV5BNjcxMzZhZTEtMmEwYi00NDJmLWE5ZmUtOWJiMzRmMzEzMTY3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",20 Jun 2003,True,138 min,Hulk,movie,http://www.thehulk.com/,"Stan Lee (Marvel comic book character), Jack Kirby (Marvel comic book character), James Schamus (story), John Turman (screenplay), Michael France (screenplay), James Schamus (screenplay)",2003,tt0286716,5.7,"229,932"
14,"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser",4 wins & 13 nominations.,"$127,083,765","USA, Germany",30 Sep 2003,John Singleton,"Action, Crime, Thriller","English, Spanish",38,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,https://ia.media-imdb.com/images/M/MV5BMzExYjcyYWMtY2JkOC00NDUwLTg2OTgtMDI3MGY2OWQzMDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures Distributio,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",06 Jun 2003,True,107 min,2 Fast 2 Furious,movie,http://www.thefastandthefurious.com/,"Gary Scott Thompson (characters), Michael Brandt (story), Derek Haas (story), Gary Scott Thompson (story), Michael Brandt (screenplay), Derek Haas (screenplay)",2003,tt0322259,5.9,"217,645"
15,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand",Nominated for 1 Oscar. Another 7 wins & 12 nominations.,"$121,400,000",USA,30 Mar 2004,Nancy Meyers,"Comedy, Drama, Romance","English, French",66,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,https://images-na.ssl-images-amazon.com/images/M/MV5BODYyNmRlNDMtYzg1Zi00NzlhLWI4ZDMtZWUwOTQzMDZiYTQyXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",12 Dec 2003,True,128 min,Something's Gotta Give,movie,http://www.sonypictures.com/movies/somethingsgottagive/index.html,Nancy Meyers,2003,tt0337741,6.7,"98,329"
16,"David McCullough, Jeff Bridges, Paul Vincent O'Connor, Chris Cooper",Nominated for 7 Oscars. Another 6 wins & 37 nominations.,"$120,147,445",USA,16 Dec 2003,Gary Ross,"Drama, History, Sport",English,72,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,https://ia.media-imdb.com/images/M/MV5BMWVmMmE1YzItNGUyZS00MzgwLWFhNzYtYjM4ZTJmZDVjNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",25 Jul 2003,True,140 min,Seabiscuit,movie,http://www.seabiscuitonline.com/,"Laura Hillenbrand (book), Gary Ross (screenplay)",2003,tt0329575,7.3,"60,866"
17,"Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J",5 wins & 5 nominations.,"$116,643,346",USA,30 Dec 2003,Clark Johnson,"Action, Adventure, Crime","English, Spanish, French",45,An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody and only the LAPD's Special Weapons and Tactics team can prevent it.,https://ia.media-imdb.com/images/M/MV5BNmIxYTVmMDEtNWU5NS00MWJhLWJjNmQtNjkxNWI3NmY4MzJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",08 Aug 2003,True,117 min,S.W.A.T.,movie,http://www.sony.com/swat,"Robert Hamner (characters), Ron Mita (story), Jim McClain (story), David Ayer (screenplay), David McKenna (screenplay)",2003,tt0257076,6.0,"127,148"
18,"Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara",3 wins & 3 nominations.,N/A,USA,24 Feb 2004,Robert Rodriguez,"Action, Adventure, Comedy",English,57,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",https://ia.media-imdb.com/images/M/MV5BMTI4MTQyNTUzMF5BMl5BanBnXkFtZTcwNzE2MDAwMQ@@._V1_SX300.jpg,Dimension Films,PG,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",25 Jul 2003,True,84 min,Spy Kids 3: Game Over,movie,http://www.spykids.com,Robert Rodriguez (script),2003,tt0338459,4.2,"45,595"
