,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",Won 1 Oscar. Another 42 wins & 53 nominations.,"$423,032,628",USA,05 Dec 2006,Gore Verbinski,,"Action, Adventure, Fantasy","English, Turkish, Greek, Mandarin, French",53,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",https://ia.media-imdb.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,Buena Vista,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",07 Jul 2006,True,151 min,Pirates of the Caribbean: Dead Man's Chest,movie,http://pirates.movies.com,"Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)",2006,tt0383574,7.3,"580,758"
1,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney",2 wins & 8 nominations.,"$249,300,000","USA, UK",24 Apr 2007,Shawn Levy,,"Adventure, Comedy, Family","English, Italian, Hebrew",48,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,https://ia.media-imdb.com/images/M/MV5BMTQyOTM4MDMxN15BMl5BanBnXkFtZTcwODg5NTQzMw@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",22 Dec 2006,True,108 min,Night at the Museum,movie,http://www.nightatthemuseum.com/,"Robert Ben Garant (screenplay), Thomas Lennon (screenplay), Robert Ben Garant (screen story), Thomas Lennon (screen story), Milan Trenc (book)",2006,tt0477347,6.4,"266,294"
2,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",Nominated for 2 Oscars. Another 27 wins & 28 nominations.,"$244,052,771",USA,07 Nov 2006,"John Lasseter, Joe Ranft(co-director)",,"Animation, Comedy, Family","English, Italian, Japanese, Yiddish",73,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",https://ia.media-imdb.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,Buena Vista,G,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",09 Jun 2006,True,117 min,Cars,movie,http://www.carsthemovie.com,"John Lasseter (original story by), Joe Ranft (original story by), Jorgen Klubien (original story by), Dan Fogelman (screenplay by), John Lasseter (screenplay by), Joe Ranft (screenplay by), Kiel Murray (screenplay by), Phil Lorin (screenplay by), Jorgen Klubien (screenplay by), Steve Purcell (additional screenplay material)",2006,tt0317219,7.1,"302,236"
3,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart",7 wins & 37 nominations.,"$234,300,000","Canada, USA, UK",03 Oct 2006,Brett Ratner,,"Action, Adventure, Fantasy",English,58,An all-out war looms when the discovery of a cure for mutations draws a line between the followers of Charles Xavier and those of Magneto.,https://ia.media-imdb.com/images/M/MV5BMjI1NTg2ODA2Nl5BMl5BanBnXkFtZTcwMDc2MjEzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",26 May 2006,True,104 min,X-Men: The Last Stand,movie,http://www.x-menthelaststand.com/,"Simon Kinberg, Zak Penn",2006,tt0376994,6.7,"427,781"
4,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno",Nominated for 1 Golden Globe. Another 6 wins & 20 nominations.,"$217,536,138","USA, Malta, France, UK",14 Nov 2006,Ron Howard,,"Mystery, Thriller","English, French, Latin, Spanish",46,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",https://ia.media-imdb.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",19 May 2006,True,149 min,The Da Vinci Code,movie,http://www.thedavincicode-movie.com,"Akiva Goldsman (screenplay), Dan Brown (novel)",2006,tt0382625,6.6,"354,771"
5,"Gerard Butler, Lena Headey, Dominic West, David Wenham",17 wins & 45 nominations.,"$210,500,000",USA,31 Jul 2007,Zack Snyder,,"Action, Fantasy",English,52,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,https://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",09 Mar 2007,True,117 min,300,movie,http://300themovie.warnerbros.com/,"Zack Snyder (screenplay), Kurt Johnstad (screenplay), Michael B. Gordon (screenplay), Frank Miller (graphic novel), Lynn Varley (graphic novel)",2006,tt0416449,7.7,"663,587"
6,"Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden",Nominated for 1 Oscar. Another 12 wins & 40 nominations.,"$200,100,000",USA,28 Nov 2006,Bryan Singer,,"Action, Adventure, Sci-Fi","English, German, French",72,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",https://ia.media-imdb.com/images/M/MV5BNzY2ZDQ2MTctYzlhOC00MWJhLTgxMmItMDgzNDQwMDdhOWI2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",28 Jun 2006,True,154 min,Superman Returns,movie,http://www.supermanreturns.com/,"Michael Dougherty (screenplay), Dan Harris (screenplay), Bryan Singer (story), Michael Dougherty (story), Dan Harris (story), Jerry Siegel (characters), Joe Shuster (characters)",2006,tt0348150,6.1,"253,856"
7,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez",Won 1 Oscar. Another 18 wins & 23 nominations.,"$197,800,000","USA, Australia",27 Mar 2007,"George Miller, Warren Coleman(co-director), Judy Morris(co-director)",,"Animation, Adventure, Comedy",English,77,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",https://ia.media-imdb.com/images/M/MV5BMTQyNTkxMjUwMV5BMl5BanBnXkFtZTcwMDQ2NTU0MQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",17 Nov 2006,True,108 min,Happy Feet,movie,http://www.happyfeetmovie.com/,"George Miller, John Collee, Judy Morris, Warren Coleman",2006,tt0366548,6.5,"149,194"
8,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",7 wins & 16 nominations.,"$195,300,000",USA,21 Nov 2006,Carlos Saldanha,,"Animation, Action, Adventure",English,58,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.",https://ia.media-imdb.com/images/M/MV5BMjAwODg3OTAxMl5BMl5BanBnXkFtZTcwMjg2NjYyMw@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",31 Mar 2006,True,91 min,Ice Age: The Meltdown,movie,http://www.iceagemovie.com/,"Peter Gaulke (screenplay), Gerry Swallow (screenplay), Jim Hecht (screenplay), Peter Gaulke (story), Gerry Swallow (story)",2006,tt0438097,6.8,"218,200"
9,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Won 1 BAFTA Film Award. Another 26 wins & 44 nominations.,"$167,007,184","UK, Czech Republic, USA, Germany, Bahamas, Italy",13 Mar 2007,Martin Campbell,,"Action, Adventure, Thriller","English, French",80,"Armed with a license to kill, Secret Agent James Bond sets out on his first mission as 007, and must defeat a private banker to terrorists in a high stakes game of poker at Casino Royale, Montenegro, but things are not what they seem.",https://ia.media-imdb.com/images/M/MV5BMDI5ZWJhOWItYTlhOC00YWNhLTlkNzctNDU5YTI1M2E1MWZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",17 Nov 2006,True,144 min,Casino Royale,movie,http://www.sonypictures.com/movies/casinoroyale/site/,"Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)",2006,tt0381061,8.0,"514,286"
10,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe",Nominated for 1 Oscar. Another 11 wins & 24 nominations.,"$162,586,036",USA,27 Mar 2007,Gabriele Muccino,,"Biography, Drama","English, Cantonese",64,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",15 Dec 2006,True,117 min,The Pursuit of Happyness,movie,http://www.sonypictures.com/movies/thepursuitofhappyness/,Steve Conrad,2006,tt0454921,8.0,"380,019"
11,"Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes",6 wins & 20 nominations.,"$155,019,340",USA,17 Oct 2006,"Tim Johnson, Karey Kirkpatrick",,"Animation, Adventure, Comedy",English,67,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",https://ia.media-imdb.com/images/M/MV5BMTQwMTQxNTcwOF5BMl5BanBnXkFtZTcwMzQ1NzUzMQ@@._V1_SX300.jpg,Dreamworks,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",19 May 2006,True,83 min,Over the Hedge,movie,http://www.overthehedgemovie.com/,"Len Blum (screenplay), Lorne Cameron (screenplay), David Hoselton (screenplay), Karey Kirkpatrick (screenplay), Michael Fry (comic strip characters), T. Lewis (comic strip characters), Chris Poche (additional dialogue), Mike de Seve (story consultant), Eric Forsberg (additional dialogue)",2006,tt0327084,6.7,"139,928"
12,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole",8 wins & 9 nominations.,"$148,213,377",USA,12 Dec 2006,Adam McKay,,"Action, Comedy, Sport","English, French",66,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",https://ia.media-imdb.com/images/M/MV5BNzAzOTk1OTIyM15BMl5BanBnXkFtZTcwNDIzNTQzMQ@@._V1_SX300.jpg,Sony Pictures Releasing,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",04 Aug 2006,True,108 min,Talladega Nights: The Ballad of Ricky Bobby,movie,http://www.sonypictures.com/movies/talladeganights/,"Will Ferrell, Adam McKay",2006,tt0415306,6.6,"144,883"
13,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff",Nominated for 1 Oscar. Another 3 wins & 11 nominations.,"$137,340,146",USA,10 Oct 2006,Frank Coraci,,"Comedy, Drama, Fantasy","English, Portuguese, Japanese",45,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1MTUxNDY4NzReQTJeQWpwZ15BbWU2MDE3ODAxNw@@._V1_SX300.jpg,Sony Pictures Releasing,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",23 Jun 2006,True,107 min,Click,movie,http://www.sonypictures.com/movies/click/,"Steve Koren, Mark O'Keefe",2006,tt0389860,6.4,"269,114"
14,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup",7 wins & 14 nominations.,"$133,400,000","USA, Germany, China, Italy",30 Oct 2006,J.J. Abrams,,"Action, Adventure, Thriller","English, Italian, Mandarin, Cantonese, German, Czech",66,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancee in response.,https://ia.media-imdb.com/images/M/MV5BOThhNTA1YjItYzk2Ny00M2Y1LWJlYWUtZDQyZDU0YmY5Y2M5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",05 May 2006,True,126 min,Mission: Impossible III,movie,http://www.missionimpossible.com/,"Alex Kurtzman, Roberto Orci, J.J. Abrams, Bruce Geller (television series)",2006,tt0317919,6.9,"281,755"
15,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",Won 4 Oscars. Another 92 wins & 135 nominations.,"$132,300,000","USA, Hong Kong",13 Feb 2007,Martin Scorsese,,"Crime, Drama, Thriller","English, Cantonese",85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://ia.media-imdb.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",06 Oct 2006,True,151 min,The Departed,movie,http://www.thedeparted.com/,"William Monahan (screenplay), Alan Mak, Felix Chong",2006,tt0407887,8.5,"1,003,527"
16,"Sacha Baron Cohen, Ken Davitian, Luenell, Chester",Nominated for 1 Oscar. Another 20 wins & 33 nominations.,"$128,400,000","USA, UK",06 Mar 2007,Larry Charles,,Comedy,"English, Romanian, Hebrew, Polish, Armenian",89,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",https://ia.media-imdb.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",03 Nov 2006,True,84 min,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,movie,http://www.boratmovie.com/,"Sacha Baron Cohen (screenplay), Anthony Hines (screenplay), Peter Baynham (screenplay), Dan Mazer (screenplay), Sacha Baron Cohen (story), Peter Baynham (story), Anthony Hines (story), Todd Phillips (story), Sacha Baron Cohen (based on a character created by)",2006,tt0443453,7.3,"318,555"
17,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci",Nominated for 2 Oscars. Another 16 wins & 50 nominations.,"$124,700,000","USA, France",12 Dec 2006,David Frankel,,"Comedy, Drama","English, French",62,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",https://ia.media-imdb.com/images/M/MV5BMTMyNjk4Njc3NV5BMl5BanBnXkFtZTcwNDkyMTEzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",30 Jun 2006,True,109 min,The Devil Wears Prada,movie,http://www.devilwearspradamovie.com/,"Aline Brosh McKenna (screenplay), Lauren Weisberger (novel)",2006,tt0458352,6.9,"316,653"
18,"Vince Vaughn, Jennifer Aniston, Joey Lauren Adams, Cole Hauser",2 wins & 5 nominations.,"$118,683,135",USA,17 Oct 2006,Peyton Reed,,"Comedy, Drama, Romance",English,45,"In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",https://ia.media-imdb.com/images/M/MV5BOTM1YjVhNTMtZTEyZi00ODk3LWI4NDItZWUyZTA1ODM3Zjk4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",02 Jun 2006,True,106 min,The Break-Up,movie,http://www.thebreakupmovie.net,"Jeremy Garelick (screenplay), Jay Lavender (screenplay), Vince Vaughn (story), Jeremy Garelick (story), Jay Lavender (story)",2006,tt0452594,5.8,"110,822"
19,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover",Won 2 Oscars. Another 66 wins & 91 nominations.,"$103,300,000",USA,01 May 2007,Bill Condon,,"Drama, Music, Musical",English,76,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MzIwNDQyNl5BMl5BanBnXkFtZTcwNDEwNzYyMw@@._V1_SX300.jpg,Dreamworks,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",25 Dec 2006,True,130 min,Dreamgirls,movie,http://www.dreamgirlsmovie.com/,"Tom Eyen (based on the original broadway production book by), Bill Condon (screenplay)",2006,tt0443489,6.5,"61,365"
20,"Anna Faris, Regina Hall, Craig Bierko, Bill Pullman",1 win & 3 nominations.,"$90,672,025",USA,15 Aug 2006,David Zucker,,Comedy,"English, Japanese",40,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",https://ia.media-imdb.com/images/M/MV5BZmFkMzc2NTctN2U1Ni00MzE5LWJmMzMtYWQ4NjQyY2MzYmM1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Weinstein Co.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",14 Apr 2006,True,83 min,Scary Movie 4,movie,http://www.scarymovie.com/,"Craig Mazin (screenplay), Jim Abrahams (screenplay), Pat Proft (screenplay), Craig Mazin (story), Shawn Wayans (characters), Marlon Wayans (characters), Buddy Johnson (characters), Phil Beauman (characters), Jason Friedberg (characters), Aaron Seltzer (characters)",2006,tt0362120,5.1,"101,680"
21,"Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha",5 nominations.,"$88,658,172",USA,27 Jun 2006,Tom Dey,,"Comedy, Romance",English,47,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,https://ia.media-imdb.com/images/M/MV5BMTg0OTc2MDQ3NV5BMl5BanBnXkFtZTcwNDUwMjEzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",10 Mar 2006,True,97 min,Failure to Launch,movie,http://www.failuretolaunchmovie.com/,"Tom J. Astle, Matt Ember",2006,tt0427229,5.6,"63,615"
22,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer",6 wins & 11 nominations.,"$88,439,515",USA,08 Aug 2006,Spike Lee,,"Crime, Drama, Mystery","English, Albanian, Spanish",76,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjc4MjA2ZDgtOGY3YS00NDYzLTlmNTEtYWMxMzcwZjgzYWNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",24 Mar 2006,True,129 min,Inside Man,movie,http://theinsideman.net/,Russell Gewirtz,2006,tt0454848,7.6,"296,852"
23,"Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing",1 win & 9 nominations.,"$84,300,000",USA,30 Jan 2007,"Roger Allers, Jill Culton, Anthony Stacchi(co-director)",,"Animation, Adventure, Comedy",English,49,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",https://ia.media-imdb.com/images/M/MV5BMTQwOTg2MjU0OV5BMl5BanBnXkFtZTcwMzIzNTQzMQ@@._V1_SX300.jpg,Sony Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",29 Sep 2006,True,86 min,Open Season,movie,http://www.sonypictures.com/movies/openseason/,"Steve Bencich (screenplay by), Ron J. Friedman (screenplay by), Nat Mauldin (screenplay by), Jill Culton (screen story by), Anthony Stacchi (screen story by), Steve Moore (from an original story by), John B. Carls (from an original story by), Sam Harper (additional story material), Dan Wilson (additional story material), David Gilbreth (additional story material)",2006,tt0400717,6.2,"73,309"
