Opening Weekend USA,Gross USA,user review number,budget,Cumulative Worldwide Gross,imdbID,critic number
108037878,436471036,496,150000000,919838758,tt0298148,211
115817364,373585825,1340,200000000,783766341,tt0316654,305
,,2818,,,tt0335345,402
46120980,279261160,431,80000000,516642939,tt0290002,141
70467623,261441092,844,92000000,631442092,tt0317705,291
93687367,249358727,1523,130000000,796688549,tt0304141,284
85807341,186740799,1171,125000000,544272402,tt0319262,241
23323463,183373735,461,165000000,307514317,tt0338348,185
52521865,176241941,823,75000000,288500217,tt0372183,241
35142554,173008894,703,100000000,174443000,tt0368891,190
47604606,160861908,296,75000000,367275019,tt0307453,144
52179887,144801023,807,120000000,144801023,tt0343818,225
46865412,133378256,1725,175000000,497409852,tt0332452,213
39153380,125544280,640,110000000,362744280,tt0349903,201
45107871,120908074,467,75000000,196485100,tt0343660,146
51748040,120177084,1344,160000000,300257475,tt0338526,238
30061756,118627117,615,140000000,209073645,tt0339291,189
30070196,114326736,399,20000000,167722310,tt0364725,186
50746142,114197520,2015,60000000,256697520,tt0368447,274
39128715,110359362,908,10000000,187281115,tt0391198,201
858021,102608827,809,110000000,213741459,tt0338751,260
24701458,101005703,851,65000000,217764291,tt0369339,300
179953,100492203,1135,30000000,216763646,tt0405159,278
22956453,95170481,154,40000000,134734481,tt0368933,75
28103367,88237754,306,60000000,170268750,tt0335438,174
32450825,88097164,276,42000000,171963386,tt0343135,107
24432195,86058055,581,17000000,129042871,tt0377092,152
32018216,85417988,197,30000000,140161792,tt0345950,90
28416365,85288303,592,26000000,90574188,tt0357413,180
29438331,84216833,153,80000000,181466833,tt0331632,94
13464745,81001787,1138,29000000,116072707,tt0332280,174
38291056,80282231,1303,60000000,172544654,tt0370263,252
22751490,77911774,704,70000000,130293714,tt0328107,173
19053199,77872883,623,60000000,140813273,tt0362227,154
21727611,75369589,238,35000000,200804534,tt0356634,116
20039730,75331600,445,40000000,124731534,tt0350258,207
22088204,74541707,319,55000000,102332848,tt0349710,113
21570867,73780539,223,60000000,96572480,tt0388419,111
207042,71503593,850,12000000,109706931,tt0375063,285
19676748,70831760,265,37000000,113086475,tt0381707,70
18829435,67286731,348,100000000,40800000,tt0317648,141
21022111,67133509,449,42000000,117592831,tt0356618,170
25104949,66208183,957,30000000,152159461,tt0378194,306
20018620,65955630,371,80000000,96105964,tt0368008,213
24241612,65111277,66,18000000,65971313,tt0337579,50
19377577,64378093,290,28000000,64445708,tt0349825,133
20269025,61188085,304,30000000,,tt0390022,121
23172440,59623958,608,66000000,99414250,tt0167190,227
21406781,59484742,414,90000000,102001626,tt0327162,168
26722575,59020957,1064,26000000,43335424,tt0363547,293
13528946,58169327,152,19000000,71274967,tt0364751,92
17065227,57938693,1111,13000000,38122165,tt0289879,177
,,215,,,tt0358135,117
24289165,57761012,673,105000000,115772733,tt0296572,206
21054238,57231747,347,37000000,39223950,tt0337563,95
18276468,56000369,1550,1200000,103911669,tt0387564,303
9107071,54580300,1633,6500000,98410061,tt0375679,285
16061271,52411906,521,65000000,128905366,tt0359013,189
15193907,51882244,902,120000000,203567857,tt0349683,176
220524,51680613,644,25000000,116766556,tt0308644,226
13623350,51438175,237,20000000,70164105,tt0356470,68
