Gross USA,Opening Weekend USA,critic number,user review number,imdbID,budget,Cumulative Worldwide Gross
380262555,108435841,371,3344,tt0121766,113000000,848754768
291709845,65556312,280,1483,tt0363771,180000000,745013115
290013036,102335066,306,1912,tt0330373,150000000,896911078
234280354,77061953,402,2762,tt0407304,132000000,591745540
,,451,2643,tt0360717,,
209218368,33900720,186,652,tt0396269,40000000,285176741
206852432,48745440,466,2729,tt0372784,150000000,374218673
206459076,56178450,281,1379,tt0367594,150000000,474968763
193595521,61012130,179,390,tt0351283,75000000,532680671
186336279,50342878,230,805,tt0356910,120000000,478207520
179495555,43142214,170,384,tt0386588,70000000,368100420
158119460,58613245,135,324,tt0398165,82000000,190320568
154696080,56061504,278,1021,tt0120667,100000000,175424795
135386665,40049778,152,264,tt0371606,150000000,314432837
128200012,36045301,162,273,tt0358082,75000000,260718330
119519402,22347341,289,857,tt0358273,28000000,186438883
113086868,30552694,127,229,tt0395699,56000000,198636868
110332737,21530160,134,262,tt0369441,100000000,202026112
109449237,21422815,178,552,tt0405422,26000000,177378645
89707299,24629938,224,601,tt0408790,55000000,133680000
87039965,31725652,254,882,tt0432348,4000000,147748505
83043761,547425,292,2277,tt0388795,14000000,178062759
82931301,23105133,130,232,tt0369735,60000000,154749918
82674398,18575214,75,152,tt0368578,32000000,97918663
82571173,15340679,76,129,tt0452598,60000000,129181830
80270227,30675314,142,621,tt0377818,50000000,111069515
76231249,35065237,201,568,tt0377109,50000000,161451538
75976178,33624407,286,1022,tt0360486,100000000,230884728
75072454,30054300,236,526,tt0404032,20000000,144216468
74494381,21176925,125,346,tt0430105,45000000,92374674
,,382,1745,tt0401792,,
72708161,22822455,227,412,tt0373926,80000000,162944923
70511035,25642640,530,2092,tt0434409,54000000,132511035
68915888,20671446,104,161,tt0372237,35000000,103075949
68671925,18068372,164,471,tt0318649,130000000,119269486
67264877,29168180,124,217,tt0393162,30000000,76669806
66023816,12709221,117,171,tt0400497,50000000,144146816
65233369,23507007,186,532,tt0384806,19000000,42813762
63946815,14631784,131,222,tt0405325,35000000,86369815
62658220,27726210,263,660,tt0418763,72000000,96889998
62252415,20131130,166,494,tt0374536,85000000,131426169
61649911,18320205,206,542,tt0352248,88000000,108539911
60062868,12521027,141,479,tt0356680,17000000,92283851
57891803,16167662,213,681,tt0421239,26000000,37685971
57490508,682504,226,552,tt0397535,85000000,162242962
56386759,24113565,175,404,tt0375210,10000000,91196419
56110897,16025987,207,314,tt0312004,30000000,192610372
