budget,Cumulative Worldwide Gross,critic number,user review number,imdbID,Gross USA,Opening Weekend USA
225000000,1066179725,313,1849,tt0383574,423315812,135634554
110000000,574480841,176,451,tt0477347,250863268,42212651
120000000,217898144,257,603,tt0317219,244082982,60119509
210000000,459359555,335,1924,tt0376994,234362462,122861157
125000000,758239851,306,1981,tt0382625,217536138,77073388
65000000,456068181,461,2092,tt0416449,210614939,70885301
209000000,191000000,438,2380,tt0348150,200081192,52535096
100000000,384335608,201,556,tt0366548,198000317,41533432
80000000,660940780,162,253,tt0438097,195330621,68033544
150000000,599045960,398,2317,tt0381061,167445960,40833156
55000000,307077295,200,636,tt0454921,163566459,26541709
80000000,336002996,155,252,tt0327084,155019340,38457003
72500000,162966177,174,442,tt0415306,148213377,47042215
70000000,237681299,173,697,tt0389860,137355633,40011365
150000000,397850012,311,879,tt0317919,134029801,47743273
90000000,289847354,350,2108,tt0407887,132384315,26887467
18000000,261572744,350,1214,tt0443453,128505958,26455463
35000000,326551094,205,646,tt0458352,124740460,27537244
52000000,204999686,185,494,tt0452594,118703275,39172785
70000000,154937680,245,511,tt0443489,103365956,378950
45000000,87552000,148,412,tt0362120,90710620,40222875
50000000,128406887,140,244,tt0427229,88715192,24411322
45000000,184376254,226,665,tt0454848,88513495,28954945
85000000,197309027,104,102,tt0400717,85105259,23624548
12000000,110768122,79,110,tt0452681,84500122,19504038
,144877632,113,103,tt0413895,82985708,11457353
65000000,158851357,147,428,tt0383216,82226474,20220412
40000000,120455994,122,270,tt0397313,81612565,24968601
10000000,84635551,213,631,tt0489270,80238724,33610391
32000000,99255460,158,448,tt0457510,80197993,28309599
54000000,130431368,135,193,tt0463034,75628110,21525560
100000000,174400164,174,1702,tt0449010,75030163,23239907
75000000,66513996,192,238,tt0385880,73661010,22217226
51000000,118583844,100,156,tt0414853,72779000,15820864
65000000,87528173,105,258,tt0449089,71726025,16414767
63000000,162970240,241,570,tt0469641,70278893,18730762
24000000,155721132,282,971,tt0479143,70270943,17003904
40000000,138259062,64,82,tt0421729,70165972,27736056
12000000,114194847,100,275,tt0462590,65328121,20659573
149000000,178120010,133,127,tt0424095,64665672,18814323
75000000,180557550,204,419,tt0453467,64038616,20574802
135000000,100327090,244,942,tt0430357,63450470,25723815
6000000,63308879,45,141,tt0455612,63257940,30030661
85000000,205135324,157,498,tt0457939,63224849,12778913
85000000,158468292,163,396,tt0463985,62514415,23973840
50000000,111340801,209,514,tt0401855,62318875,26857181
50000000,87134280,77,87,tt0393735,61123569,16310058
160000000,181674817,232,637,tt0409182,60674817,22155410
90000000,99480480,190,489,tt0343737,59952835,14142760
8000000,100523181,243,903,tt0449059,59891098,370782
64000000,101595121,76,192,tt0430304,58645052,21613176
50000000,71052604,87,119,tt0381971,58640119,14703405
40000000,,120,148,tt0445990,57789574,17031122
33000000,,89,217,tt0437863,57651794,19656429
100000000,171407179,169,677,tt0450259,57366262,8648324
9800000,123384128,280,434,tt0436697,56441711,122014
70000000,94973540,138,281,tt0406816,55011732,18006064
25000000,119498909,229,549,tt0466909,54607383,16026496
25000000,117719158,216,575,tt0414982,54098051,19173094
40000000,109676311,357,1166,tt0482571,53089891,14801808
40000000,114830111,176,554,tt0410297,52330111,13616196
40000000,120654337,287,1070,tt0472043,50866635,15005604
50000000,82751189,172,308,tt0408345,48751189,13635463
20000000,84795656,99,612,tt0466342,48548426,21812384
15000000,19106773,154,475,tt0455857,47860214,21607203
,,272,1763,tt0384537,,
65000000,,86,180,tt0758794,43545364,8582508
,,96,148,tt0385726,42643187,16927589
70000000,72785169,286,1040,tt0452637,42285169,18044396
15000000,70355813,269,866,tt0454841,41778863,15708512
18000000,68824526,99,168,tt0455967,41011711,14276534
38000000,,254,544,tt0420223,40137776,13411093
16000000,87892388,235,656,tt0443543,39868642,927956
16000000,51764406,198,372,tt0420294,39517763,18508228
20000000,70711175,130,282,tt0433386,39143839,20825300
30000000,,86,138,tt0421206,38432823,14414630
45000000,,98,118,tt0408985,38360195,15508779
13500000,87041569,423,1144,tt0457430,37634615,779427
30000000,46432264,122,205,tt0762121,37629831,7849304
20000000,,112,239,tt0483726,37442180,12299380
80000000,102338515,102,161,tt0405469,37384046,9684809
52000000,,201,306,tt0450232,36883539,11855260
23000000,38505009,115,213,tt0384793,36323505,10023835
60000000,78084827,161,217,tt0443632,36280697,14367854
17000000,53960137,187,481,tt0475394,35662731,14638755
76000000,69959751,383,1249,tt0206634,35552383,179268
,,72,114,tt0790604,35092918,12001256
30000000,65742529,101,128,tt0446046,34742066,12051277
25000000,135330182,250,926,tt0449467,34302837,389351
33000000,28001200,283,1039,tt0417148,34020814,15206301
90000000,65900249,281,422,tt0418689,33602376,10245190
,,283,832,tt0475276,,
12000000,,85,152,tt0424993,28435406,11407751
60000000,141702264,77,79,tt0455499,28426747,7288977
50000000,55181129,105,72,tt0429589,28142535,8432465
12000000,,169,449,tt0479884,27829874,12896635
,,88,126,tt0430634,26870825,10803610
,68072848,147,208,tt0446059,24633730,10590244
5000000,,172,471,tt0424345,24138847,10061132
40000000,,193,741,tt0450345,23643531,11740235
20000000,32347239,121,334,tt0475944,23292105,8852485
9000000,,112,283,tt0441796,23086480,10726406
30000000,38365852,145,201,tt0465624,22530295,8603460
50000000,,239,652,tt0387877,22518325,10005895
27000000,,201,522,tt0425210,22494487,7031921
,,41,49,tt0456020,21318194,9404180
,27213386,96,153,tt0454776,21208358,4054542
,,52,94,tt0466856,21160089,11554404
15000000,,45,77,tt0434215,20998709,7703551
10000000,,210,279,tt0420087,20342852,4566293
20000000,,150,257,tt0454919,20259297,8203822
17500000,20387597,88,175,tt0486551,19185184,7031228
20000000,,80,293,tt0419946,18843314,7138774
,,94,173,tt0437800,18811135,6011585
