budget,user review number,Cumulative Worldwide Gross,Opening Weekend USA,Gross USA,critic number,imdbID
258000000,1938,554341323,151116516,336530303,400,tt0413300
160000000,333,798958162,121629270,320706665,225,tt0413267
150000000,1807,709709780,70502384,319071806,404,tt0418279
300000000,1262,963420425,139802190,309420425,318,tt0449088
150000000,1126,939885929,77108414,292004738,341,tt0373889
150000000,1446,585349010,77211321,256386216,326,tt0480249
110000000,845,442824138,69283690,227471070,331,tt0440963
130000000,301,457364600,65444195,219964115,188,tt0465234
60000000,147,361336633,44307417,217326974,130,tt0952640
150000000,651,623722818,47027395,206445654,326,tt0382932
75000000,783,526745137,74036787,183135014,300,tt0462538
,262,253625427,39699023,168273550,178,tt0486946
30000000,567,219076518,30690990,148768917,248,tt0478311
7500000,892,231411584,413869,143495265,381,tt0467406
140000000,224,258022233,49100158,140125968,165,tt0293564
110000000,796,383531464,33369559,134529403,358,tt0337978
130000000,449,289047763,58051684,131921738,260,tt0486576
100000000,470,266465037,43565135,130164645,304,tt0765429
85000000,405,340487652,34440317,127807262,222,tt0461770
150000000,254,287594577,38021044,126631277,188,tt0389790
20000000,571,169871719,33052411,121463226,261,tt0829482
85000000,234,186072214,34233750,120059556,169,tt0762107
75000000,405,202548575,27476745,118871849,220,tt0427327
61000000,246,145708642,33014202,118594548,147,tt0445934
85000000,298,194157900,36133403,117154724,238,tt0496806
110000000,686,228738393,52022908,115802596,277,tt0259324
15000,1212,193355800,77873,107918810,286,tt1179904
175000000,267,173418781,31192615,100462298,184,tt0413099
150000000,152,169333034,25123781,97822171,173,tt0396555
60000000,266,159313561,34195434,95673607,124,tt0477051
45000000,329,175372502,161840,93466502,201,tt0825232
22000000,87,147880543,22950971,90648202,112,tt0492956
17000000,531,137587063,28536717,82272442,182,tt0398808
150000000,508,196393745,27515871,82161969,289,tt0442933
20000000,504,117760134,22224982,80209692,243,tt0486822
25000000,1599,171627166,1226333,74283625,514,tt0477348
100000000,123,97838349,18515473,72006777,137,tt0486583
25000000,597,131998242,20617667,71985628,307,tt0450385
180000000,678,346000000,25783232,70107728,253,tt0385752
75000000,295,119000410,15952430,66661095,273,tt0472062
10000000,335,139352633,31756764,63300095,197,tt0890870
14000000,162,75511123,25876318,61356221,83,tt0775539
100000000,117,149044513,17640249,58867694,154,tt0423294
15000000,1087,80253908,30591759,58272029,338,tt0373883
15000000,101,,21353759,55184721,42,tt0906108
34000000,213,95608995,24255205,54149098,191,tt0453556
30000000,253,156835339,9283468,53695808,130,tt0431308
55000000,579,71171825,14035033,53606916,302,tt0381849
50000000,791,152523073,13635390,52898073,388,tt0408236
30000000,597,129266061,796836,50927067,321,tt0783233
45000000,362,147717833,23678580,50648679,222,tt0432021
40000000,292,145896422,15875471,50572589,172,tt0758766
28000000,58,,14262724,49631958,65,tt0422774
13000000,33,,17958183,49121934,35,tt0937375
25000000,379,92991835,719910,49033882,307,tt0465538
20000000,347,84146832,17558689,47852604,142,tt0477071
25000000,267,67938171,11809445,47636541,225,tt0480242
70000000,299,86658558,17135055,47536778,233,tt0431197
61000000,354,95696996,14523571,47003582,199,tt0822854
35000000,123,26824897,10422258,43799818,117,tt0762114
,94,,11585121,43751706,90,tt0467110
28000000,136,92601050,11704357,43107979,171,tt0481141
,185,69485490,13122865,42674040,111,tt0490084
40000000,1024,128884494,9515615,41797066,215,tt0758730
40000000,94,104636188,2385644,40412817,98,tt0760329
25000000,1154,77208711,302845,40222514,414,tt0469494
20000000,665,86865564,18612544,39739367,111,tt0799949
24000000,382,99965792,13180769,39687694,195,tt0465494
32000000,543,80276156,15951902,39568996,308,tt0389722
,317,91354215,11014657,39015018,200,tt0488120
70000000,513,135560026,9169779,38634938,234,tt0486655
70000000,292,32972815,13471488,36793804,229,tt0476964
60000000,184,127766650,14022105,36787257,170,tt0408839
21000000,236,43090741,9405582,36605602,83,tt0463998
16000000,203,,14713321,35374833,184,tt0425430
25000000,151,,13652001,34925283,127,tt0452625
25000000,242,229736344,9889780,33302167,151,tt0453451
,212,,12261835,33231264,144,tt0401997
65000000,633,84785914,13395610,33080084,393,tt0443706
,143,,14312850,32844290,128,tt0424823
65000000,138,69474661,9630085,32061555,145,tt0457419
30000000,374,,9421369,31655091,148,tt0426931
10000000,60,,13064075,31339647,31,tt0778661
15000000,122,,3604000,30226144,113,tt0427309
15000000,722,64238440,9807292,28638916,277,tt0463854
21000000,203,54926886,10826287,28563179,216,tt0498399
20000000,353,,10017067,28476219,214,tt0780571
50000000,408,82169884,13051650,27670986,110,tt0367959
20000000,86,,7480927,25925170,131,tt0489237
22000000,83,,8761369,25628629,96,tt0419984
20000000,103,30666930,6832318,25612520,94,tt0479500
18000000,1115,,8931973,25593755,347,tt0884328
40000000,183,62771059,10025203,25117498,188,tt0444682
53000000,532,,11596613,25031037,253,tt0462322
45000000,534,29367143,667784,24343673,165,tt0445922
60795000,171,73090611,11500000,23984949,163,tt0457433
8000000,721,80573774,5848464,23637265,292,tt0425112
25000000,170,,9820089,22466994,123,tt0499556
,131,27297450,10024819,21471047,115,tt0768212
15000000,218,37466538,9686362,20804166,161,tt0800069
30000000,257,,7717309,20568319,104,tt0435670
10000000,75,22021262,10273477,20342161,87,tt0499554
19000000,494,,5501406,20300218,259,tt0452623
20000000,235,1756556,7460690,19661987,153,tt0490204
19000000,318,35300645,7603376,19363565,222,tt0452702
1500000,207,,92034,19067631,172,tt0473308
20000000,127,,6773870,18882880,86,tt0791304
16500000,153,37311672,972066,18670946,152,tt0416508
15000000,809,,212440,18352454,234,tt0758758
35000000,207,,6257174,18317151,164,tt0841046
70000000,316,77434049,7133049,18211013,188,tt0435705
AD 20000000,142,,282750,18005198,114,tt0486640
10000000,389,35633963,8203391,17609452,242,tt0498353
25000000,408,,547092,17114882,357,tt0765443
30000000,265,,6957216,16930884,152,tt0411061
20000000,325,22217407,7842725,16809076,165,tt0455760
10000000,280,25393046,7818239,16472961,180,tt0455960
55000000,219,74870866,6153075,16285240,203,tt0414055
20000000,240,74180745,471713,15800078,203,tt0419887
80000000,282,,5951409,15071514,233,tt0427392
35000000,305,,6702434,14998070,229,tt0891527
8600000,201,32685679,5856872,14377198,132,tt0211933
,43,,3838916,13922019,48,tt0476995
,158,,5310711,13920741,106,tt0787475
20000000,43,,5554594,13349251,47,tt0790804
6000000,35,,3402678,13235267,52,tt0462244
39000000,435,24096824,5716554,12807139,210,tt0465602
,61,,2770000,12589108,75,tt0796307
,56,,5674802,12550605,97,tt0770772
,102,,3501971,12406646,117,tt0765447
17500000,296,35076923,134938,11902715,276,tt0838221
