Cumulative Worldwide Gross,user review number,imdbID,Opening Weekend USA,budget,critic number,Gross USA
2787965087,3167,tt0499549,77025481,237000000,720,760507625
836303693,1459,tt1055369,108966307,200000000,373,402111870
934416487,989,tt0417741,77835727,250000000,385,301959197
709827462,928,tt1259571,142839137,50000000,294,296623634
731342744,744,tt1049413,68108790,175000000,421,293004164
467483912,638,tt1119646,44979319,35000000,337,277322503
385680446,1588,tt0796366,72500000,150000000,528,257730019
309208309,449,tt0878804,34119372,29000000,266,255959475
443140005,102,tt1231580,48875415,75000000,106,219614612
524028679,632,tt0988045,62304277,90000000,414,209028679
381509870,195,tt0892782,59321095,175000000,223,198351526
886686817,136,tt1080016,41690382,90000000,187,196573705
373062864,663,tt0458525,85058003,150000000,359,179883157
413106170,214,tt1078912,70052004,150000000,183,177243721
769679473,1084,tt1190080,65237614,200000000,369,166112167
317375031,283,tt1041829,33627598,40000000,223,163958031
363164265,237,tt1013752,70950500,85000000,230,155064265
302469017,537,tt1046173,54713046,175000000,247,152267519
325286646,263,tt1067106,30051075,200000000,244,137855863
485930816,464,tt0808151,46204168,150000000,309,133375846
371353001,997,tt0438488,51943726,200000000,427,125322469
243006126,164,tt0844471,30304648,100000000,194,124870275
313600000,1601,tt0361748,38054676,75000000,499,120540719
292817841,90,tt0436339,31706934,150000000,143,119436770
210819611,1286,tt1136608,37354308,30000000,478,115646235
219103655,222,tt1230414,22100822,85000000,188,112735375
172450423,148,tt1078940,34286740,60000000,165,109205660
185258983,1264,tt0409459,55214334,130000000,458,107509799
267045765,229,tt0780521,786190,105000000,232,104400899
214104620,593,tt1152836,25271675,100000000,359,97104620
129540499,283,tt1135503,20027956,40000000,256,94125426
178846899,208,tt1001508,27785487,40000000,158,93953653
,46,tt1142800,41030947,,41,90485233
205298907,173,tt1142988,27605576,38000000,169,88915214
166842739,470,tt1193138,1181450,25000000,403,83823381
183593586,814,tt0448011,24604751,50000000,280,79957634
155525718,145,tt1114677,32324487,30000000,131,79566871
100086793,396,tt0386117,32695407,100000000,339,77233467
102391540,576,tt1156398,24733155,23600000,454,75590286
124596398,304,tt0327597,16849646,60000000,322,75286229
126690726,450,tt1197624,21039502,50000000,217,73343413
117000198,59,tt0785006,17012212,35000000,106,73034460
91636986,218,tt1155056,17810270,40000000,216,71440011
73830340,165,tt1198138,28612730,20000000,104,68261644
106387141,112,tt1075417,24402214,65000000,167,67172594
186167139,295,tt1144884,27408309,40000000,221,66477700
150166126,294,tt1111422,23373102,100000000,267,65452312
91379051,571,tt0758746,43585449,19000000,319,65002019
136267476,190,tt0974661,23722310,20000000,191,64167069
101344412,240,tt0452694,18623171,39000000,213,63414846
138805831,399,tt0889583,30619130,42000000,283,60054530
114663461,134,tt0901476,21058173,30000000,152,58715510
77527732,196,tt0492044,23004765,10000000,160,55389516
102223269,108,tt0821640,15411434,,146,55250026
71585235,308,tt1201167,22657780,75000000,229,51855045
,59,tt1385912,23446785,13000000,34,51733921
100734718,271,tt1179891,21241456,15000000,193,51545952
96753696,123,tt0976238,16894511,35000000,124,49492060
68777554,237,tt0457400,18837350,100000000,150,49438370
95714875,193,tt1078588,12442212,30000000,147,49200230
,286,tt0929632,1872458,10000000,323,47395661
91353501,181,tt0834001,20828511,35000000,168,45802315
108333222,133,tt1093908,17809053,,164,44277350
93621340,612,tt0380510,116616,65000000,308,43818839
,207,tt1045778,19610304,60000000,170,43337279
78208812,233,tt1139668,19810585,16000000,177,42670410
91388487,715,tt1127180,15825480,30000000,411,42100625
,74,tt0762125,,,156,
78769428,412,tt1148204,12871483,,269,41596251
81079566,183,tt1135487,13965110,60000000,212,40572825
,237,tt1263670,82664,7000000,275,39462438
122444772,256,tt0986263,14902692,80000000,262,38577772
