critic number,budget,imdbID,Gross USA,Cumulative Worldwide Gross,Opening Weekend USA,user review number
456,200000000,tt0435761,415004880,1063171911,110307189,754
460,200000000,tt1014759,334191110,1025467110,116101023,751
465,200000000,tt1228705,312433331,623933331,128122480,757
281,68000000,tt1325004,300531751,698491347,68533840,506
431,150000000,tt0926084,295983305,960283305,125017327,632
670,160000000,tt1375666,292576195,825532764,62785337,3054
313,69000000,tt1323594,251513985,543113985,56397125,313
225,165000000,tt0892791,238371987,752600867,70838207,182
295,165000000,tt0892769,217581231,494878759,43732319,525
329,260000000,tt0398286,200821936,591794936,48767052,415
257,40000000,tt1155076,176591618,359126022,55665805,431
469,170000000,tt1104001,172062763,400062763,44026211,684
498,38000000,tt1403865,171243005,252276927,24850000,744
342,125000000,tt0800320,163214888,493214993,61235105,638
178,80000000,tt1375670,162001186,271430189,40506562,317
231,130000000,tt1001526,148415853,321885765,46016833,200
178,100000000,tt0970866,148383780,310650585,30833665,160
477,15000000,tt1504320,138797449,373700000,355450,668
281,150000000,tt0938283,131564731,319731881,51804232,1421
500,80000000,tt1130884,128012934,294804195,41062440,1019
271,100000000,tt1386588,119219978,170432927,35543162,326
328,110000000,tt0944835,118311368,293503304,36011243,524
187,52000000,tt0817230,110485654,216485654,63135312,213
672,13000000,tt0947798,106954678,329398046,1443809,1182
345,200000000,tt0955308,105269730,321669741,36063385,570
225,155000000,tt0980970,104386950,418186950,24005069,233
425,80000000,tt1320253,103068524,274470394,34825135,758
308,65000000,tt1231583,100539043,211780824,32689406,296
142,80000000,tt1302067,100246011,201584141,16411322,103
250,55000000,tt1279935,98711404,152263880,25207599,219
566,40000000,tt1285016,96962694,224920315,22445653,727
219,100000000,tt1261945,95347692,294680778,36835353,302
329,80000000,tt1037705,94835059,157107755,38437553,582
414,25000000,tt0964517,93617009,129190869,300010,403
382,37000000,tt0840361,92186262,154026136,23808032,435
305,200000000,tt0473075,90759676,335154643,37813075,471
324,58000000,tt1245526,90380162,199006387,21761408,337
218,95000000,tt0814255,88761720,226497209,38661634,432
211,3000000,tt1536044,84752907,177512032,40678424,367
316,100000000,tt0477080,81562942,167805466,22688457,335
215,60000000,tt0879870,80574010,204594016,23104523,310
160,25000000,tt0989757,80014842,114977104,30468614,203
314,110000000,tt0429493,77222099,177238796,25669455,370
287,117000000,tt1013743,76423035,261930436,20139985,366
191,,tt0427152,73026337,86855739,23527839,273
321,100000000,tt1243957,67631157,278346189,16472458,389
161,40000000,tt1038919,67061228,136333522,20686423,140
108,15000000,tt1196141,64003625,75700498,22126166,109
236,150000000,tt0963966,63150991,215283742,17619622,244
366,35000000,tt1179056,63075011,115664037,32902299,667
121,20000000,tt1294226,62950384,92678948,16007426,190
365,150000000,tt0780653,61979680,139789765,35555065,445
221,,tt1226229,60974475,91261479,17570955,198
256,60000000,tt1220634,60128566,296221663,26650264,419
37,20000000,tt1391137,60095852,60673972,29289537,71
115,48000000,tt0808510,60022256,112462508,14010409,70
162,35000000,tt1028576,59713955,60251371,12694770,137
265,8000000,tt1282140,58401464,74952305,17734040,284
121,20000000,tt1135084,57744720,69055695,20512304,135
186,80000000,tt1219342,55675313,140073390,16112211,166
317,1500000,tt1591095,54009150,97009150,13271464,791
141,38000000,tt1055292,53374681,105648706,14506464,96
159,30000000,tt0892318,53032453,82148538,13540486,162
292,70000000,tt1027718,52474616,134748021,19011188,249
353,40000000,tt1424381,52000688,127233108,24760882,630
264,36000000,tt1231587,50287556,65985447,14020502,254
449,30000000,tt1250777,48071303,96188903,19828687,821
139,75000000,tt1103153,47059963,98159963,15837266,122
183,20000000,tt1477076,45710178,136150434,24230123,291
202,37000000,tt1385867,44875481,55909910,18211126,178
90,85000000,tt1287468,43585753,112483764,12279363,65
259,80000000,tt1226273,43313890,82812456,17214384,263
182,112000000,tt1320261,42779261,237382724,6307691,124
119,20000000,tt1321509,42739347,,16217540,105
138,30000000,tt1193631,42400223,159291809,15812311,87
310,1800000,tt1320244,41034350,67738090,20366613,304
226,26000000,tt1038686,40168080,67918658,17501625,323
195,55000000,tt1126591,39440655,89519773,11947744,225
310,20000000,tt0455407,39123589,56445534,16067552,261
72,,tt1405500,37721949,,19497324,73
146,35000000,tt1212436,37490007,77477008,12201710,97
121,20000000,tt1666186,36661504,81424988,12202831,190
336,20000000,tt1440728,35606376,67876281,16662333,475
266,100000000,tt0947810,35053660,94882549,14309295,264
97,50000000,tt1392197,33644788,89895930,11599661,65
274,10000000,tt1314655,33583175,62695489,12289375,329
318,50000000,tt1212419,32746941,105197635,220322,337
149,55000000,tt1185416,32669555,,12350041,84
219,30000000,tt0758752,32367005,102820008,9739161,227
180,20000000,tt0815236,31584722,,9775278,137
408,60000000,tt0446029,31494270,,10609795,558
256,20000000,tt1226753,31177548,45636368,9949109,172
113,44000000,tt1438254,31162545,48190704,12381585,84
211,40000000,tt1126618,31011732,60040976,9203266,166
170,120000000,tt1341188,30212620,,7484696,206
95,35000000,tt1415283,29197642,97799865,8407685,59
182,19000000,tt0889573,27758465,,8436713,126
395,10500000,tt0985694,26593646,44093316,14102888,396
78,15000000,tt0493949,26161406,,7810481,54
130,19000000,tt1216492,25918920,,9202815,193
91,20000000,tt1414382,25702053,32005248,8407513,237
82,20000000,tt1213012,25077977,,9106906,89
367,24000000,tt0464154,25003155,83188165,10106872,383
61,,tt0979434,24708699,,10652297,28
100,28000000,tt1273678,24268828,,12877043,74
300,25000000,tt1270761,24042490,,8525728,257
204,52000000,tt1179034,23979741,52826594,8158860,216
212,25000000,tt0480255,23580735,,9406348,170
194,24000000,tt1433108,23240020,,8523153,165
66,,tt1407061,21520719,,8284989,36
218,10000000,tt1564585,21371425,78693371,11692415,969
239,35000000,tt1458175,21148651,67448651,6542779,247
318,3500000,tt0842926,20811365,34705850,491971,303
68,14000000,tt1305583,20246959,,7629862,21
133,15000000,tt1555064,20218921,20529194,30000,113
248,23000000,tt1568921,19202743,145570827,6446395,119
154,16000000,tt1403981,19068240,56506120,8089139,376
453,18000000,tt1542344,18335230,60738797,264851,462
166,32000000,tt1322312,17804299,,8508290,118
101,35000000,tt0492389,17596256,,6627564,89
340,45000000,tt1139328,15541549,73741549,183009,361
158,25000000,tt0872230,14637490,,6842220,139
195,32000000,tt1053424,13794835,18409891,6126170,190
391,20000000,tt1228987,12134420,,5147479,387
127,31000000,tt1244659,11854694,,6012594,66
199,25000000,tt0968264,11538204,,3509048,139
180,47000000,tt1075747,10539414,,5379365,185
379,3500000,tt1120985,9737892,16566240,193728,308
214,22000000,tt0977855,9528092,,651802,132
141,10000000,tt1470023,8460995,,4043495,129
134,10000000,tt1668200,7691700,17511906,115708,77
196,,tt1423894,7502560,15167284,65241,88
223,7000000,tt1336617,7455447,,181716,129
229,6800000,tt1255953,6857096,12597210,50679,175
180,12500000,tt1244754,6783129,,102351,109
366,2000000,tt1399683,6531503,13831503,84887,313
160,8000000,tt0804497,6350058,,2013406,164
165,3200000,tt1532503,5790894,14311701,141340,152
94,45000000,tt1032751,5664251,11087569,3048665,103
287,,tt1164999,5101237,25147786,456930,134
220,15000000,tt1172991,4439063,,647797,127
133,,tt1441912,4430650,9158000,110418,138
238,,tt1234654,4216789,,118152,154
132,,tt0878835,4033268,,118123,55
211,12000000,tt1188996,4018695,42345360,2264983,248
194,4000000,tt1588337,3954651,,308895,90
262,10000000,tt1017451,3571735,,805115,131
207,22000000,tt1182350,3247816,,160103,114
248,10000000,tt1431181,3205706,19722766,111869,146
20,3500000,tt1462054,2848578,,1101204,66
152,5000000,tt1531663,2711210,,791677,96
215,,tt1023114,2701859,20348249,1208196,184
333,15000000,tt1334260,2434652,9455232,111734,348
24,200000,tt1544600,2428241,,1010299,27
215,11000000,tt0775489,2231474,6007194,38594,104
252,5000000,tt0935075,2229058,5129058,53778,150
138,22000000,tt1423995,1796024,,75766,142
297,7000000,tt1421051,1768416,13936909,119086,203
86,14000000,tt0817177,1752214,,224233,118
