user review number,budget,imdbID,Opening Weekend USA,critic number,Cumulative Worldwide Gross,Gross USA
848,125000000,tt1201607,169189427,473,1341511219,381011219
914,195000000,tt1399103,97400000,437,1123746996,352390543
452,110000000,tt1324999,138122261,328,712171856,281287133
402,80000000,tt1411697,85946294,382,586764305,254464305
510,250000000,tt1298650,90151958,457,1045713802,241071802
383,125000000,tt1596343,86198765,355,626137675,209837675
524,145000000,tt1229238,12785204,435,694713380,209397903
301,200000000,tt1216475,66135507,310,559852396,191452396
416,125000000,tt1515091,39637079,380,545448418,186848418
773,150000000,tt0800369,65723338,534,449326618,181030624
685,93000000,tt1318514,54806191,546,482860185,176760185
727,140000000,tt0458339,65058524,525,370569774,176654505
491,25000000,tt1454029,26044590,383,216639112,169708112
504,32500000,tt1478338,26247410,377,288383523,169106725
215,150000000,tt1302011,47835000,287,665692281,165249063
144,130000000,tt0448694,34077439,248,554987477,149260504
718,160000000,tt1270798,55101604,506,353624124,146408305
192,90000000,tt1436562,39225962,237,487519809,143619809
156,110000000,tt0472181,35611637,178,563749323,142614158
60,75000000,tt1615918,23244744,89,342695435,133110742
863,50000000,tt1650062,35451168,549,260095986,127004179
346,135000000,tt1192628,38079323,367,245724603,123477607
405,35000000,tt1499658,28302165,341,209638559,117538559
569,200000000,tt1133985,53174303,439,219851172,116601172
90,63000000,tt1411704,37543710,156,184924333,108085305
323,5000000,tt1778304,52568183,251,207039844,104007828
216,80000000,tt1564367,30514732,203,214945591,103028109
655,90000000,tt1568346,12750000,523,232617430,102515793
305,20000000,tt1284575,31603106,287,216197492,100292856
512,163000000,tt0409847,36431290,431,174822325,100240551
120,36000000,tt0377981,25356909,203,193967670,99967670
452,120000000,tt0990407,33526876,444,227817248,98780042
256,45000000,tt1204342,29239026,396,165184237,88631237
438,110000000,tt0433035,27319677,328,299268508,85468508
310,50000000,tt1570728,19104303,310,142851197,84351197
814,70000000,tt1217613,37573187,356,211819354,83552429
410,75000000,tt1253864,32206425,282,226904017,83504017
460,20000000,tt1033575,1190096,549,177243185,82584160
129,80000000,tt1222817,20065617,176,169852759,80360843
502,66000000,tt1568911,7512000,393,177584879,79884879
415,27000000,tt1219289,18907302,380,161849455,79249455
201,75000000,tt0471042,24025190,236,152930623,78046570
455,135000000,tt0983193,9705000,446,373993951,77591831
422,60000000,tt1598778,22403596,449,135458097,75658097
212,50000000,tt1389137,9450000,256,120081841,75624550
325,50000000,tt1210166,19501302,422,110206216,75605492
288,79000000,tt0810913,25003575,155,150519217,74158157
709,150000000,tt0970179,11364505,688,185770160,73864507
90,37000000,tt1564349,19152401,130,95404397,72286779
184,25000000,tt1411238,19652921,243,149228077,70662220
112,55000000,tt1396218,18445355,183,189624452,68224452
82,135000000,tt1402488,21237068,156,150406466,64006466
339,30000000,tt1401152,21856389,353,136123083,63686397
427,50200000,tt1385826,21157730,414,127869379,62495645
271,38000000,tt1067583,16842353,273,117094902,58709717
215,40000000,tt1189340,13206453,281,87145086,58009200
547,17000000,tt1605783,599003,509,151119219,56816662
211,35000000,tt1632708,18622150,237,149542245,55802754
352,60000000,tt1464540,22755854,289,149878437,55100437
589,32000000,tt0945513,14812094,529,147332697,54712227
139,56000000,tt1598822,13019180,201,142044638,54544638
35,25000000,tt1787759,25068677,31,54161287,53345287
47,21000000,tt1650043,23751502,101,72417394,52698535
133,24000000,tt1068242,15556113,156,63543328,51802742
343,57000000,tt1071875,22115334,289,149217355,51774002
790,25000000,tt1601913,19665101,412,84339696,51580136
144,70000000,tt1578275,17816230,183,69721966,48475290
84,100000000,tt1430607,12068931,196,147419472,46462469
271,10000000,tt1412386,737051,262,136836156,46412041
150,36000000,tt0480687,13535374,235,83160734,45060734
599,15000000,tt1655442,204878,579,133432856,44671682
122,18000000,tt1596346,10601862,109,47088990,43853424
234,40000000,tt1622979,18031396,277,157887643,42587643
292,12500000,tt1124035,10470143,428,75993061,40962534
459,30000000,tt0993842,12370549,420,63782078,40259119
157,35000000,tt0491152,13945368,128,65090821,39046489
88,27000000,tt1517489,11644672,73,85564310,38538188
531,40000000,tt1262416,18692090,425,97138686,38180928
48,32000000,tt1464174,19000000,86,82686066,37915414
290,42000000,tt1486185,14005335,293,90300442,37662162
484,40000000,tt1637688,12050368,366,173930596,37520095
343,40000000,tt1092026,13043310,346,101162106,37412945
286,35000000,tt1616195,11217324,399,84606030,37306030
119,16000000,tt1265990,15002635,137,40492759,37300107
60,6600000,tt1640484,15215487,49,,37295394
154,52000000,tt1488555,13531115,215,75828267,37081475
127,28000000,tt1622547,13330118,219,,37053924
210,40000000,tt1657507,10408176,199,72295262,36665854
938,82000000,tt0978764,19058199,440,89792502,36392502
192,30000000,tt1583420,13006875,219,72008245,35608245
1329,15000000,tt0780504,11340461,698,76175166,35060689
94,19000000,tt1268799,12954142,163,,35033759
394,8000000,tt1306980,8644095,327,39187783,35014192
