budget,Gross USA,imdbID,Cumulative Worldwide Gross,Opening Weekend USA,user review number,critic number
220000000,623357910,tt0848228,1519557910,207438708,1764,716
250000000,448139099,tt1345836,1084939099,160887295,2774,826
78000000,408010692,tt1392170,694394724,152535747,1987,678
200000000,304360277,tt1074638,1108561013,88364714,1525,750
180000000,303003568,tt0903624,1021103568,84617303,1400,652
120000000,292298923,tt1673434,832660037,141067634,343,321
230000000,262030663,tt0948470,757930663,62004688,1262,615
185000000,237283207,tt1217209,538983207,66323594,445,494
50000000,218815487,tt1637725,549368315,54415205,633,455
145000000,216391482,tt1277953,746921274,60316738,159,210
70000000,214030500,tt1482459,348840316,70217070,205,239
165000000,189422889,tt1772341,471222889,49038712,365,380
65000000,182207973,tt0443272,275293450,944308,744,546
225000000,179020854,tt1409024,624026776,54592779,361,452
100000000,162805434,tt1853728,425368238,30688000,1275,808
95000000,161321843,tt1667889,879765137,46629259,138,232
170000000,155332381,tt1735898,396592829,56217700,723,423
61000000,148809770,tt1707386,441809770,28027000,880,493
85000000,148313048,tt0837562,358375603,42522194,180,263
45000000,139854287,tt1397280,376141306,49514769,468,358
42000000,138447667,tt1232829,201585328,36302612,364,376
44500000,136025503,tt1024648,232325503,19458109,718,652
21000000,132092958,tt1045658,236412453,443003,729,534
130000000,126477084,tt1446714,403354469,51050101,2434,804
85000000,126373434,tt1599348,208076205,40172720,281,299
30000000,125014030,tt1606389,196114570,41202458,173,212
120000000,124987023,tt0454876,609016565,22451514,791,555
7000000,113721571,tt1915581,167221571,39127170,294,326
125000000,113203870,tt1194173,276144750,38142825,529,444
79000000,103860290,tt1397514,335260290,27335363,146,177
145000000,103412758,tt1446192,306941670,23773465,182,260
40000000,95720716,tt1790885,132820716,417150,668,569
31000000,93772375,tt1907668,161772375,24900566,511,449
12000000,91547205,tt1621045,96070507,33636303,65,76
95000000,86907746,tt1790886,104907746,26588460,180,257
,,tt1764651,,,487,389
150000000,83670083,tt1646987,305270083,33457188,256,311
60000000,80070736,tt0790724,218340595,15210156,485,401
150000000,79727149,tt1077368,245527149,29685274,488,530
25000000,77267296,tt1047540,119772232,14800000,112,140
250000000,73078100,tt0401729,284139100,30180188,774,468
12000000,70012847,tt1591479,82497035,24476632,359,216
35000000,67544505,tt1758830,88058786,12030690,255,288
25000000,66528000,tt1524137,96262212,24349815,165,272
30000000,66486205,tt1276104,176506819,20801552,706,597
20000000,65653242,tt2215285,66899242,25390575,51,29
209000000,65422625,tt1440129,303025485,25534825,778,385
17000000,65001093,tt1981677,113042075,5149433,281,230
85000000,64935167,tt1667353,183018522,18132085,211,382
12000000,64575175,tt1706593,126636097,22004098,483,415
30000000,63536011,tt1535438,114281051,14650121,187,233
70000000,62321039,tt1496025,160112671,25306725,285,249
25000000,60457138,tt1327194,99357138,22518358,111,168
65000000,59650222,tt1645170,179379533,17435092,320,314
125000000,58877969,tt1386703,198467168,25577758,556,407
50000000,57011521,tt1605630,234989584,21514080,181,291
60000000,56003051,tt1623288,107139399,14087050,186,335
65000000,54760791,tt1596350,156491279,17405930,244,239
12000000,54731865,tt1636826,102731865,21051363,273,226
17000000,54333290,tt1596365,127730736,20874072,522,464
5000000,53921300,tt2109184,142838957,29003866,261,254
750000,53261944,tt1560985,101758490,33732515,296,224
25000000,51853450,tt1462769,52685425,10822903,113,159
58000000,49876377,tt0485985,50365498,18782154,281,144
14000000,49130154,tt0431021,85446075,17732480,172,264
22000000,49008662,tt2023453,77112176,14623599,40,87
3000000,48086903,tt1922777,87727807,18007634,562,421
45000000,47382068,tt1615065,82966152,16016910,277,340
16000000,45512466,tt1748122,68263166,522996,402,492
42000000,45290318,tt1648179,73239258,11816596,122,154
65000000,44806783,tt1234719,50950296,14276668,312,238
,44338224,tt0383010,54819301,17010125,195,162
65000000,42345531,tt1855325,240159255,21052227,437,246
30000000,42073277,tt1259521,70768144,14743614,1037,646
40000000,41152203,tt1586265,84384002,10547068,91,167
7000000,41003371,tt1855199,53041274,13152683,360,361
75000000,38518613,tt1336608,59418613,14437269,364,357
69000000,37519139,tt1611224,116471580,16306974,358,396
26000000,37400127,tt1212450,53676580,10001566,288,355
40000000,37134215,tt1694020,41860614,5390000,108,146
70000000,36931089,tt1232200,58058367,13453714,212,157
60000000,35763137,tt2083383,48963137,12162040,165,240
68000000,35353000,tt1298649,68267862,12750297,212,265
39000000,35291068,tt1142977,81491068,11412213,177,380
33000000,35074677,tt1800741,165552290,11731708,74,119
,35025791,tt1885265,35578791,15583924,45,40
6900000,31611916,tt1582507,40494035,12287234,165,226
25000000,30920167,tt1710396,,11225190,72,95
30000000,28835528,tt1195478,53909751,10610060,149,231
102000000,27108272,tt1371111,130482868,9612247,871,509
40000000,26414527,tt1598828,36893721,11515790,175,125
35000000,25888412,tt1712170,34588412,11396768,155,207
17000000,24397469,tt1876451,,11643342,48,79
10000000,21590086,tt1935179,,2215460,270,377
15000000,21383298,tt1817273,,279457,409,422
35000000,20275446,tt1547234,,6300000,187,249
40000000,20113965,tt1430615,,7760205,66,124
45000000,19019882,tt1649419,180274123,143818,340,376
42000000,18620000,tt1568338,46221189,8001932,158,257
40000000,18438149,tt0763831,,6176280,101,72
11000000,18390117,tt1441951,59520298,47122,130,176
13000000,17738570,tt1659337,,228359,501,372
20000000,17529157,tt0938330,52302796,8023036,230,174
,17225675,tt1655460,,6526650,145,161
30000000,17142080,tt1656190,41564670,7892539,140,257
17000000,16685867,tt1859650,73244881,361359,175,276
32000000,16377274,tt1560747,28258060,736311,429,492
26000000,16008272,tt1486192,22485095,7289642,210,269
15000000,15634090,tt1258972,19721245,7910980,228,209
15000000,15026056,tt1764234,37930465,6812900,377,419
15000000,15024049,tt1931533,19422261,4174915,308,402
20000000,14326864,tt1592525,32204030,6231836,240,294
5000000,14123773,tt2101441,,263002,580,449
2000000,13746550,tt2097307,,5900000,109,175
35000000,13414714,tt1343727,41037742,6278491,622,447
35000000,13101142,tt1540128,,5750288,57,134
,12816367,tt1781769,68929150,320690,241,328
1800000,12795746,tt2125435,21080058,169702,276,633
,12495865,tt1792647,,2135000,39,73
16000000,12412386,tt1716777,,4255423,81,105
,11653123,tt1838544,,4770360,114,159
6000000,11494838,tt1840417,13231461,4750894,146,214
55000000,9483821,tt1308729,,4548201,138,284
14000000,9402410,tt1663143,11417362,4101017,34,76
12000000,7918283,tt1764183,,2002165,155,289
15000000,7597898,tt2091473,,173915,107,240
10000000,7435950,tt1433811,,210744,130,126
10000000,6842058,tt1748227,,3104269,111,145
8900000,6739492,tt1602620,29844753,68266,199,454
10000000,6619173,tt1307068,,3822803,244,267
,6367780,tt1477855,,81362,103,222
,6008677,tt0975645,23570541,287715,228,384
20000000,6002756,tt1629757,,2268274,80,117
1000000,6002451,tt1866249,9138338,113467,135,335
6000000,5895238,tt1702425,,2287239,73,133
12000000,5669081,tt1566501,1195929,1885608,62,44
,5308553,tt1870529,,2603370,38,100
2000000,5132442,tt1381404,,131718,119,227
17000000,4930798,tt1433822,,2955000,114,142
,4327763,tt2094064,,171941,88,224
,4063238,tt2347569,,137398,152,337
750000,4010957,tt1862079,,97762,271,272
20000000,3749061,tt1366365,10968746,1831588,124,120
,3345315,tt2103264,3346265,1014099,47,82
10000000,3333823,tt1985017,,1746025,123,22
2500000,3325638,tt1990314,,35539,95,254
,3310439,tt2359137,,1585994,92,9
15000000,3301046,tt1389096,,1486390,127,179
,3094687,tt1405365,,107785,64,194
427000,2833383,tt1869425,,1478323,11,15
7395080,2706375,tt1787988,16115728,1638706,221,44
5000000,2594878,tt1817676,,1384078,18,30
8000000,2540106,tt1839492,9128263,140822,138,270
10000000,2448455,tt1673697,,38372,79,137
,2343664,tt2059255,7746744,71742,42,234
,2291047,tt2150332,,65194,26,97
1000000,2263436,tt2077851,,322677,29,126
15400000,2061449,tt2053425,25807712,27154,95,342
10000000,1939441,tt1491044,,87946,155,221
13000000,1830475,tt1954352,,251041,15,22
,1774639,tt2219514,,59164,23,125
,1714710,tt0787442,,26352,25,68
,1697294,tt1047011,,25728,43,121
5500000,1631306,tt1854236,16822266,36746,44,136
,1561577,tt1226240,,75279,78,165
,1546761,tt1276419,14758997,38212,81,227
16600000,1517410,tt1613750,22842887,22168,70,151
,1378426,tt1698648,,694477,48,83
,1347578,tt2258858,,41253,76,162
850000,1243961,tt1996264,,143935,36,112
2500000,1163508,tt1731697,,642000,172,242
,1160773,tt2073016,,125691,19,61
,1154466,tt2073086,,76807,45,51
,1082299,tt1996346,,641542,6,4
6000000,1065000,tt1932767,,21480,91,171
5000000,1064277,tt1520498,,443901,91,26
,1059239,tt1932718,,540281,54,114
,1005700,tt2115295,,42838,37,164
4300000,968879,tt1996310,,31498,69,169
,793352,tt1730687,,39962,25,60
20500000,743636,tt1480656,6063556,70339,206,373
25000000,717753,tt0337692,,39550,136,252
,714442,tt1674773,,31270,37,131
12500000,692640,tt1496422,,102706,145,244
3800000,687185,tt2106476,18309793,43045,296,360
,685839,tt2330866,87126367,136993,16,60
8000000,632824,tt1602472,,23942,45,174
20000000,607327,tt1230215,,19182,37,103
1200000,594904,tt1758575,,258653,91,36
,586293,tt1595656,,116551,140,304
,526322,tt0455323,,43990,39,78
,519535,tt2032557,,30920,61,102
3000000,447954,tt1920849,11947954,181494,140,159
KK 15500000,413276,tt2216240,,39392,47,149
,379791,tt1937449,,16095,39,97
5000000,376512,tt1714203,8493728,182237,172,242
500000,375981,tt2063781,,26943,37,112
,354244,tt1964624,,35214,45,201
,353468,tt1368440,,240565,85,40
,342667,tt1911553,,11290,22,63
,338803,tt1989593,,40070,18,62
270000,318622,tt1971352,,16427,181,291
2000000,317190,tt1872818,,27435,86,153
33000000,308871,tt2113822,,105702,17,41
,304357,tt1924394,,18837,60,197
35000000,304318,tt1656186,,183125,90,100
9600000,292562,tt1816518,9376444,13078,39,99
,279735,tt1854513,2585522,25264,39,188
,258656,tt1836808,,88500,38,118
,251913,tt1710417,,31815,25,99
,245138,tt2011953,,55574,25,73
,221390,tt1843287,,21813,32,172
,212094,tt1981080,25328480,85094,24,80
,212072,tt2094877,,14387,15,70
1300000,210156,tt1604589,,109748,12,6
3000000,200803,tt1855401,,87475,77,80
,200002,tt2066176,,40489,33,78
13000000,175256,tt2070776,,15690,35,117
