Gross USA,user review number,Cumulative Worldwide Gross,imdbID,Opening Weekend USA,budget,critic number
936662225,4382,2068178225,tt2488496,247966675,245000000,853
652270625,1406,1670400637,tt0369610,208806270,150000000,668
459005868,1161,1405413868,tt2395427,191271109,250000000,662
356461711,871,857611174,tt2096673,90440272,175000000,567
353007020,699,1516045911,tt2820852,147187040,190000000,441
336045770,302,1163534901,tt2293640,115200000,74000000,326
281723902,417,653428261,tt1951266,102665981,160000000,416
228433663,1132,629281283,tt3659388,54308575,108000000,606
201151353,358,543514353,tt1661199,67877361,95000000,362
200074175,1076,880674175,tt2379713,70403148,245000000,632
195042377,476,700868363,tt2381249,55520089,150000000,486
184296230,205,287506194,tt2848292,70300000,29000000,235
183637894,1335,532925985,tt1663202,471000,135000000,606
180202163,597,519445163,tt0478970,57225526,130000000,541
177397510,224,387663547,tt2224026,52107731,135000000,172
169700110,114,473226958,tt2510894,48464322,80000000,165
166167230,1443,571006128,tt2322441,8600000,40000000,388
162994032,156,323436538,tt2279373,55365012,74000000,149
161197785,360,201634991,tt1398426,56100000,28000000,373
155190832,541,473990832,tt2126355,54588173,110000000,375
,1732,,tt1392190,,,789
150357137,169,240360392,tt1528854,38740203,50000000,164
130179072,281,297276329,tt2908446,52263680,110000000,275
130178411,174,246233113,tt2452042,44213073,99000000,220
123087120,396,331926147,tt1979388,39155217,200000000,316
110825712,439,236400000,tt3079380,29085719,65000000,368
110212700,352,140795793,tt3152624,30097040,35000000,347
109767581,429,173567581,tt3076658,29632823,35000000,465
93436322,539,209154322,tt1964418,32972000,190000000,455
90411453,156,111811453,tt2561572,33803253,40000000,178
89760956,927,440603537,tt1340138,27018486,155000000,491
87044645,161,105929161,tt1850457,13922855,30000000,171
85886987,55,234758158,tt2974918,14287159,90000000,72
81670090,401,312268954,tt4046784,30316510,61000000,265
81476385,243,215863606,tt2637276,33507870,68000000,289
80080379,180,156246468,tt1051904,23618556,58000000,231
78747585,386,244866996,tt2120120,24011616,88000000,265
75764672,376,194564672,tt2361509,17728313,35000000,254
72313754,415,165478348,tt3682448,15371203,40000000,487
71038190,143,107588225,tt3450650,23762435,30000000,79
70259870,434,133346506,tt1596363,705527,28000000,455
67790117,136,,tt3832914,11351389,3000000,40
66013057,141,122513057,tt2268016,11600000,14800000,230
65206105,536,98450062,tt3567288,25427560,5000000,401
64460211,119,80171596,tt0884732,24500000,23000000,117
62575678,327,99775678,tt1355683,22635037,53000000,405
58884188,253,104884188,tt1524930,14681108,31000000,218
57017904,43,,tt3862750,25888154,12000000,46
56451232,301,101134059,tt2446980,17500000,60000000,338
56117548,759,167977596,tt1502712,25685737,120000000,404
54117416,1183,155760117,tt3460252,4610676,44000000,645
53862963,243,159062963,tt2381941,18685137,50100000,288
52421953,306,91970827,tt1798684,16701294,30000000,333
52218558,205,120678444,tt3195644,22692741,10000000,242
47425125,357,95437994,tt1029360,22600000,35000000,273
47387723,779,183887723,tt1617661,18372372,176000000,399
46889293,561,84872444,tt3397884,401288,30000000,523
45445109,399,109845109,tt1638355,13535000,75000000,371
45055776,485,91191352,tt1895587,295009,20000000,502
44469602,94,,tt2097298,11020798,17000000,112
43771291,337,,tt4178092,11854273,5000000,315
43482270,301,202394678,tt2719848,7222035,55000000,379
43035725,109,,tt3530002,9880536,25000000,167
42652003,93,,tt3369806,12155254,20000000,61
42592530,244,61788393,tt3850590,16293325,15000000,239
42478175,256,,tt1655441,13203458,25000000,223
38317535,263,,tt2381111,187281,11000000,380
37432299,127,,tt2726560,13019686,34000000,118
35385560,144,,tt3181822,14910105,4000000,265
35088320,207,128388320,tt3332064,15315435,150000000,265
34531832,173,,tt3322364,10513749,35000000,233
34507079,133,,tt2967224,13942258,35000000,164
34017854,123,,tt1666801,10809149,8500000,135
33305037,167,61619773,tt2404425,2091551,11000000,211
33078266,110,90384306,tt2555736,8540370,10000000,159
32361416,183,49263404,tt1674771,10283250,30000000,220
32000304,177,85512300,tt3622592,12650140,12000000,197
31569268,692,104399548,tt1823672,13346782,49000000,379
31056945,389,,tt2554274,13143310,55000000,438
29467855,144,,tt1178665,8400000,8000000,164
28782481,216,133718711,tt2058673,9805000,105000000,179
27736779,152,,tt2752772,10542116,10000000,197
27367660,143,140396650,tt1618442,10812861,90000000,211
27285953,253,,tt1781922,8111264,16200000,211
26822144,118,,tt3623726,6610961,18000000,190
26442251,213,,tt2199571,11012305,50000000,244
26284475,88,,tt2279339,8317545,17000000,106
25799043,142,,tt2918436,10203437,3300000,160
25138292,636,,tt4263482,8800230,3500000,504
25020758,191,93920758,tt1390411,11053366,100000000,305
22757819,165,,tt2309260,10015000,100000,167
22467450,181,82347656,tt2679042,8326530,35000000,189
22331028,207,32248241,tt2436386,8500000,12000000,181
20991497,192,,tt1243974,9670235,37000000,143
20180155,120,,tt1741273,6652996,19500000,165
19375982,107,106031284,tt2872750,4038962,25000000,229
18700837,259,,tt2057392,113803,13000000,253
