user review number,budget,Opening Weekend USA,critic number,Gross USA,imdbID,Cumulative Worldwide Gross
1454,200000000,155081681,657,532177324,tt3748528,1056052054
370,200000000,135060273,538,486295561,tt2277860,1028570889
1252,250000000,179139142,624,408084349,tt3498820,1153304495
261,75000000,104352905,278,368384330,tt2709768,875457937
519,175000000,103261464,432,364001123,tt3040964,966550600
1277,58000000,135050000,629,363070709,tt1431045,783112979
564,150000000,75063401,450,341268248,tt2948356,1023784195
3377,250000000,166007347,760,330360194,tt2975590,873260194
1905,175000000,133682248,655,325100054,tt1386697,745600054
193,75000000,35258145,229,270329045,tt3470600,632443719
381,150000000,56631401,369,248757044,tt3521164,643031115
645,180000000,74403387,419,234037575,tt3183660,814037575
757,165000000,85058311,536,232641920,tt1211837,677718395
383,25000000,515499,398,169387004,tt4846340,234874979
606,120000000,60000000,387,162434410,tt4196776,415484914
742,185000000,59253211,454,158848340,tt2660888,343471816
747,178000000,65000000,460,155442489,tt3385516,543934787
150,125000000,46581142,177,153707064,tt1679335,346864462
1367,30000000,881104,644,151101803,tt3783958,445636919
178,145000000,41282042,232,143528619,tt2267968,521170825
644,9000000,40010975,515,138291365,tt4972582,278454358
1790,144000000,46018755,661,128344089,tt1289401,229147509
184,50000000,35535250,231,127440871,tt1489889,217196811
422,180000000,38527856,309,126643061,tt0918940,356743061
398,60000000,35028301,387,125070033,tt3263904,238552082
234,20000000,23817340,190,113257297,tt4651520,183936074
180,73000000,38155177,175,107509366,tt1985949,352333929
761,165000000,41039944,355,103144286,tt1628841,389684482
437,40000000,40406314,375,102470008,tt3065204,320270008
1478,47000000,24000000,677,100546139,tt2543164,203388186
902,110000000,14869736,398,100014699,tt1355644,303144152
459,19000000,34263534,293,97661826,tt1700841,36200000
392,90000000,34703397,363,93432655,tt2404435,162526238
67,40000000,34040000,124,90835030,tt2869728,90698542
451,9900000,26411706,382,89217875,tt4160708,159047649
348,110000000,28871140,307,87242834,tt1935859,296477016
383,44000000,24710273,320,86260045,tt2140479,155160045
194,135000000,35316382,230,82051601,tt3949660,245623848
192,10000000,30870000,274,79003080,tt4094724,118587880
203,170000000,28112000,263,77042381,tt2567026,299455833
144,65000000,21514095,231,76233151,tt2788732,143695338
361,45000000,24536265,354,75395035,tt3631112,173185859
50,20000000,28501448,36,73159525,tt5325452,74792994
84,70000000,21311407,137,72679278,tt4624424,182379278
614,15000000,24702752,496,71897215,tt1179933,
288,4900000,21688103,302,67268835,tt4786282,148868835
670,40000000,15190758,451,67209615,tt2119532,175302354
186,110000000,29027348,201,66184051,tt3410834,179246868
270,90000000,22383146,275,65075540,tt3110958,334901337
109,105000000,21373064,141,64063008,tt3416828,408579038
129,29000000,23586645,175,63034755,tt2702724,
452,60000000,21635601,258,62524260,tt3300542,205754447
81,13000000,14812393,70,61693523,tt4257926,73798720
241,110000000,20223544,291,61284947,tt1860357,118188581
176,38000000,11002986,164,60269575,tt4501244,117497580
125,18000000,17861950,175,59573085,tt3760922,26120000
312,60000000,22872490,281,58697076,tt3393786,162146076
287,24000000,129462,313,57642961,tt2671706,64098857
283,20000000,18723269,204,56245075,tt2674426,207945075
223,140000000,19584969,348,55483770,tt3691740,199905224
176,35000000,21760405,200,55291815,tt4438848,
387,17000000,16800868,379,55121623,tt4052882,68850939
141,45000000,17500000,183,54730514,tt1711525,114455140
542,125000000,10278225,314,54647948,tt2094766,240697856
40,20000000,20242415,77,54030051,tt3628584,55030051
282,50000000,16000000,233,52853219,tt4172430,69411370
405,12000000,123360,358,51694854,tt3741834,123723779
184,115000000,19445035,274,48390190,tt2381991,165536477
239,60000000,12608372,286,48023088,tt4302938,76257813
620,8500000,256498,477,47695120,tt4034228,62201310
902,160000000,24166110,350,47365290,tt0803096,433677183
117,38000000,18750000,166,46813366,tt1292566,112343513
136,33000000,16628170,166,46007113,tt2823054,56148540
389,150000000,18469620,299,45540830,tt2034800,334933831
176,40000000,14685305,266,43017433,tt2005151,
25,17000000,15564000,41,41715860,tt4649416,42487325
184,27000000,14788157,323,41012075,tt2241351,92766958
245,85000000,12701743,296,40069087,tt3640424,109098064
198,20000000,9445456,228,38562379,tt3531824,33003464
155,20000000,11801271,133,36874745,tt3231054,
339,50000000,11203270,429,36261763,tt3799694,62788218
228,8000000,10778392,187,35794166,tt3882082,68200000
222,27500000,11111875,177,35537564,tt1860213,25339753
330,38000000,10326356,212,34912982,tt2304933,67065200
137,9000000,14065500,214,34904885,tt4361050,79496033
323,75000000,14860425,303,34343574,tt3062096,220021259
70,125000000,10950705,110,33370166,tt3095734,64361194
81,25000000,8369184,124,32463917,tt4824302,
206,45000000,65,285,31886361,tt4572514,48277588
365,140000000,14123903,206,31153464,tt2404233,150680864
264,36000000,7102085,186,30982955,tt4682786,76168721
173,35000000,13688751,168,30348260,tt3717252,76130534
387,22000000,11355225,470,30080225,tt0475290,62429013
29,10000000,14202323,36,29703843,tt1389139,
202,50000000,15650000,247,28848693,tt1608290,55969000
692,1500000,402075,490,27850912,tt4975722,55561162
166,80000000,10288932,196,27550735,tt2025690,15265660
171,29000000,6601313,237,27370107,tt4136084,2080000
328,12000000,621329,403,26862450,tt2582782,26749794
322,40000000,13601682,237,26830068,tt2592614,312242626
179,10000000,12741176,209,26583369,tt3387542,30687600
228,100000000,11203815,219,26384681,tt2638144,
55,30000000,4730038,107,24479155,tt2261287,105831614
113,35000000,8571785,184,24252420,tt1473832,211952420
127,35000000,7443007,179,23049575,tt3553442,24939010
189,40000000,8000058,317,21587519,tt3774114,37357216
169,40000000,7456525,131,21203260,tt3522806,110312958
273,5000000,9576057,340,20777061,tt1540011,45172994
137,5000000,7623662,43,20773070,tt4824308,
125,50000000,7772000,175,20758378,tt1124037,
118,15000000,9453224,149,20566327,tt4139124,
31,8500000,6878437,40,19985196,tt4981636,20611649
105,30000000,6249915,116,19637449,tt4383594,
66,5000000,7353922,148,19097994,tt3499096,
76,,6050443,77,18709066,tt3797868,23420878
