user review number,Opening Weekend USA,Gross USA,imdbID,budget,Cumulative Worldwide Gross,critic number
5057,220009584,620181382,tt2527336,,1332704286,617
918,174750616,504014165,tt2771200,160000000,1263521126,503
1768,103251471,412563408,tt0451279,149000000,821763408,642
505,36169328,404353891,tt2283362,90000000,962119864,282
839,146510104,389813101,tt3896198,200000000,863756051,533
1023,117027503,334201140,tt2250912,175000000,880166924,507
1260,123403419,327481748,tt1396484,35000000,700381748,545
1043,122744989,315058289,tt3501632,180000000,853977126,461
162,72434025,264624300,tt3469046,80000000,1034799409,246
1510,93842239,229024295,tt0974015,300000000,614729668,433
1281,88411916,226277068,tt3315342,97000000,619021436,598
478,98786705,226008385,tt4630562,250000000,1238764765,400
549,50802605,209726015,tt2380307,,804183415,357
1857,50513488,188373161,tt5013056,100000000,525573161,605
998,33377060,176040665,tt5052448,5000000,254716534,666
269,53003468,175750384,tt4116284,80000000,311950384,379
187,50198902,175003033,tt3874544,125000000,527965936,177
1017,8805843,173796310,tt1485796,84000000,431880208,292
560,62983253,172558876,tt1790809,230000000,794861794,386
776,61025472,168052812,tt3731562,185000000,566652812,532
254,53688680,152901115,tt3606752,175000000,383889151,261
754,56262929,146880162,tt3450958,150000000,490664238,432
240,,132422809,tt2543472,20000000,300461781,197
645,44680073,130168683,tt3371366,217000000,605425157,271
164,31201920,115108515,tt3564472,19000000,114651938,114
258,46607250,114376885,tt4465564,55000000,374275967,232
802,20553320,107825862,tt3890160,34000000,175089495,536
116,19928525,104897530,tt4765284,45000000,175919130,136
120,29651193,104029443,tt5657846,69000000,,132
580,28681472,102826543,tt3402236,55000000,351715237,363
288,35006404,102092201,tt5140878,15000000,306515884,261
527,39023010,100234838,tt4649466,104000000,410878571,322
1684,32753122,92054159,tt1856101,150000000,,566
609,30436123,92029184,tt4425200,40000000,158216655,421
572,24531923,86089513,tt4877122,50000000,200405914,135
433,40300288,85067486,tt3717490,100000000,,279
82,13401586,84364229,tt3411444,111000000,294764262,123
316,526011,81896433,tt6294822,50000000,174496433,386
705,31688375,80101125,tt2345759,125000000,410333326,402
375,21384504,75468583,tt1959563,30000000,176586701,271
1787,36160621,74262031,tt2316204,97000000,240745764,545
95,23851539,73921000,tt2091256,38000000,,122
114,16759161,72110659,tt6359956,28000000,,134
