Name,API,Most Followed Acount Followers
Robert De Niro,"twurl ""/1.1/users/search.json?count=1&q=Robert De Niro"" | jq '.[] | .followers_count'$'\n' >> output.log",27430
Jack Nicholson,"twurl ""/1.1/users/search.json?count=1&q=Jack Nicholson"" | jq '.[] | .followers_count'$'\n' >> output.log",16879
Tom Hanks,"twurl ""/1.1/users/search.json?count=1&q=Tom Hanks"" | jq '.[] | .followers_count'$'\n' >> output.log",15466054
Marlon Brando,"twurl ""/1.1/users/search.json?count=1&q=Marlon Brando"" | jq '.[] | .followers_count'$'\n' >> output.log",6099
Leonardo DiCaprio,"twurl ""/1.1/users/search.json?count=1&q=Leonardo DiCaprio"" | jq '.[] | .followers_count'$'\n' >> output.log",19339987
Humphrey Bogart,"twurl ""/1.1/users/search.json?count=1&q=Humphrey Bogart"" | jq '.[] | .followers_count'$'\n' >> output.log",52079
Johnny Depp,"twurl ""/1.1/users/search.json?count=1&q=Johnny Depp"" | jq '.[] | .followers_count'$'\n' >> output.log",133678
Al Pacino,"twurl ""/1.1/users/search.json?count=1&q=Al Pacino"" | jq '.[] | .followers_count'$'\n' >> output.log",3009
Denzel Washington,"twurl ""/1.1/users/search.json?count=1&q=Denzel Washington"" | jq '.[] | .followers_count'$'\n' >> output.log",2975
Laurence Olivier,"twurl ""/1.1/users/search.json?count=1&q=Laurence Olivier"" | jq '.[] | .followers_count'$'\n' >> output.log",1031
Brad Pitt,"twurl ""/1.1/users/search.json?count=1&q=Brad Pitt"" | jq '.[] | .followers_count'$'\n' >> output.log",2576
Daniel Day-Lewis,"twurl ""/1.1/users/search.json?count=1&q=Daniel Day-Lewis"" | jq '.[] | .followers_count'$'\n' >> output.log",3276
Tom Cruise,"twurl ""/1.1/users/search.json?count=1&q=Tom Cruise"" | jq '.[] | .followers_count'$'\n' >> output.log",6775874
Cary Grant,"twurl ""/1.1/users/search.json?count=1&q=Cary Grant"" | jq '.[] | .followers_count'$'\n' >> output.log",2587
Dustin Hoffman,"twurl ""/1.1/users/search.json?count=1&q=Dustin Hoffman"" | jq '.[] | .followers_count'$'\n' >> output.log",169
Clark Gable,"twurl ""/1.1/users/search.json?count=1&q=Clark Gable"" | jq '.[] | .followers_count'$'\n' >> output.log",5960
Sean Penn,"twurl ""/1.1/users/search.json?count=1&q=Sean Penn"" | jq '.[] | .followers_count'$'\n' >> output.log",30914
Christian Bale,"twurl ""/1.1/users/search.json?count=1&q=Christian Bale"" | jq '.[] | .followers_count'$'\n' >> output.log",24908
Gregory Peck,"twurl ""/1.1/users/search.json?count=1&q=Gregory Peck"" | jq '.[] | .followers_count'$'\n' >> output.log",436
Harrison Ford,"twurl ""/1.1/users/search.json?count=1&q=Harrison Ford"" | jq '.[] | .followers_count'$'\n' >> output.log",44901
Spencer Tracy,"twurl ""/1.1/users/search.json?count=1&q=Spencer Tracy"" | jq '.[] | .followers_count'$'\n' >> output.log",1740
George Clooney,"twurl ""/1.1/users/search.json?count=1&q=George Clooney"" | jq '.[] | .followers_count'$'\n' >> output.log",147440
Charlton Heston,"twurl ""/1.1/users/search.json?count=1&q=Charlton Heston"" | jq '.[] | .followers_count'$'\n' >> output.log",274
Anthony Hopkins,"twurl ""/1.1/users/search.json?count=1&q=Anthony Hopkins"" | jq '.[] | .followers_count'$'\n' >> output.log",257209
Russell Crowe,"twurl ""/1.1/users/search.json?count=1&q=Russell Crowe"" | jq '.[] | .followers_count'$'\n' >> output.log",2765121
Katharine Hepburn,"twurl ""/1.1/users/search.json?count=1&q=Katharine Hepburn"" | jq '.[] | .followers_count'$'\n' >> output.log",6317
Meryl Streep,"twurl ""/1.1/users/search.json?count=1&q=Meryl Streep"" | jq '.[] | .followers_count'$'\n' >> output.log",66102
Ingrid Bergman,"twurl ""/1.1/users/search.json?count=1&q=Ingrid Bergman"" | jq '.[] | .followers_count'$'\n' >> output.log",874
Marilyn Monroe,"twurl ""/1.1/users/search.json?count=1&q=Marilyn Monroe"" | jq '.[] | .followers_count'$'\n' >> output.log",259052
Jennifer Lawrence,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Lawrence"" | jq '.[] | .followers_count'$'\n' >> output.log",485850
Kate Winslet,"twurl ""/1.1/users/search.json?count=1&q=Kate Winslet"" | jq '.[] | .followers_count'$'\n' >> output.log",4888
Elizabeth Taylor,"twurl ""/1.1/users/search.json?count=1&q=Elizabeth Taylor"" | jq '.[] | .followers_count'$'\n' >> output.log",318541
Cate Blanchett,"twurl ""/1.1/users/search.json?count=1&q=Cate Blanchett"" | jq '.[] | .followers_count'$'\n' >> output.log",6749
Audrey Hepburn,"twurl ""/1.1/users/search.json?count=1&q=Audrey Hepburn"" | jq '.[] | .followers_count'$'\n' >> output.log",39456
Helen Mirren,"twurl ""/1.1/users/search.json?count=1&q=Helen Mirren"" | jq '.[] | .followers_count'$'\n' >> output.log",2392
Bette Davis,"twurl ""/1.1/users/search.json?count=1&q=Bette Davis"" | jq '.[] | .followers_count'$'\n' >> output.log",36009
Nicole Kidman,"twurl ""/1.1/users/search.json?count=1&q=Nicole Kidman"" | jq '.[] | .followers_count'$'\n' >> output.log",74272
Sandra Bullock,"twurl ""/1.1/users/search.json?count=1&q=Sandra Bullock"" | jq '.[] | .followers_count'$'\n' >> output.log",97890
Natalie Portman,"twurl ""/1.1/users/search.json?count=1&q=Natalie Portman"" | jq '.[] | .followers_count'$'\n' >> output.log",43707
Jodie Foster,"twurl ""/1.1/users/search.json?count=1&q=Jodie Foster"" | jq '.[] | .followers_count'$'\n' >> output.log",39709
Judi Dench,"twurl ""/1.1/users/search.json?count=1&q=Judi Dench"" | jq '.[] | .followers_count'$'\n' >> output.log",1871
